machno lane filetype label seconds
1 1 u01 copy_file-return 0.00947183382222222
2 1 u01 copy_file-return 0.0095779304749499
3 1 u01 copy_file-return 0.00908212956547619
4 1 u01 copy_file-return 0.00986089000197239
5 1 u01 copy_file-return 0.00887104958185404
1 2 u01 copy_file-return 0.009525030494
2 2 u01 copy_file-return 0.00986485483466135
3 2 u01 copy_file-return 0.00919276574161736
4 2 u01 copy_file-return 0.00915749064313725
5 2 u01 copy_file-return 0.00890860661568627
1 1 u03 copy_file-return 0.0149217344541752
2 1 u03 copy_file-return 0.0132672935392354
3 1 u03 copy_file-return 0.0113528183797217
4 1 u03 copy_file-return 0.0095471676468254
5 1 u03 copy_file-return 0.00897188367258383
1 2 u03 copy_file-return 0.0142082147389558
2 2 u03 copy_file-return 0.013019345754
3 2 u03 copy_file-return 0.0112734368893281
4 2 u03 copy_file-return 0.0109341488461538
5 2 u03 copy_file-return 0.00916729733137255
1 1 u01 management_reset-return 6.01216161616162e-07
2 1 u01 management_reset-return 6.37370741482966e-07
3 1 u01 management_reset-return 5.47882936507937e-07
4 1 u01 management_reset-return 5.8753057199211e-07
5 1 u01 management_reset-return 7.20329388560158e-07
1 2 u01 management_reset-return 5.72714e-07
2 2 u01 management_reset-return 7.16382470119522e-07
3 2 u01 management_reset-return 1.04123274161736e-06
4 2 u01 management_reset-return 5.73192156862745e-07
5 2 u01 management_reset-return 5.29345098039216e-07
1 1 u01 postprocess_u0X_file-return 0.00952752006262626
2 1 u01 postprocess_u0X_file-return 0.00954381108216433
3 1 u01 postprocess_u0X_file-return 0.0100034371329365
4 1 u01 postprocess_u0X_file-return 0.0117498892840237
5 1 u01 postprocess_u0X_file-return 0.00859019596055227
1 2 u01 postprocess_u0X_file-return 0.009479136232
2 2 u01 postprocess_u0X_file-return 0.010859664563745
3 2 u01 postprocess_u0X_file-return 0.00906122293293886
4 2 u01 postprocess_u0X_file-return 0.00959063312745098
5 2 u01 postprocess_u0X_file-return 0.00826263936666667
1 1 u03 postprocess_u0X_file-return 0.0102440907515275
2 1 u03 postprocess_u0X_file-return 0.0115021916498994
3 1 u03 postprocess_u0X_file-return 0.00986729385487078
4 1 u03 postprocess_u0X_file-return 0.0106502588829365
5 1 u03 postprocess_u0X_file-return 0.00911571801183432
1 2 u03 postprocess_u0X_file-return 0.0107475024738956
2 2 u03 postprocess_u0X_file-return 0.009839790654
3 2 u03 postprocess_u0X_file-return 0.0108199321422925
4 2 u03 postprocess_u0X_file-return 0.0108949000788955
5 2 u03 postprocess_u0X_file-return 0.0103926190058824
1 1 u01 preprocess_u0X_file-return 0.0132392784707071
2 1 u01 preprocess_u0X_file-return 0.0129386005430862
3 1 u01 preprocess_u0X_file-return 0.0122470612996032
4 1 u01 preprocess_u0X_file-return 0.0132846643195266
5 1 u01 preprocess_u0X_file-return 0.0120543752781065
1 2 u01 preprocess_u0X_file-return 0.01283568102
2 2 u01 preprocess_u0X_file-return 0.0130530283486056
3 2 u01 preprocess_u0X_file-return 0.0123662843333333
4 2 u01 preprocess_u0X_file-return 0.0124246296098039
5 2 u01 preprocess_u0X_file-return 0.0120523132882353
1 1 u03 preprocess_u0X_file-return 0.0181924701466395
2 1 u03 preprocess_u0X_file-return 0.0165567597002012
3 1 u03 preprocess_u0X_file-return 0.0146110043558648
4 1 u03 preprocess_u0X_file-return 0.0126377195992063
5 1 u03 preprocess_u0X_file-return 0.0119613632840237
1 2 u03 preprocess_u0X_file-return 0.0174541587911647
2 2 u03 preprocess_u0X_file-return 0.01616839378
3 2 u03 preprocess_u0X_file-return 0.0144186998695652
4 2 u03 preprocess_u0X_file-return 0.0141105558047337
5 2 u03 preprocess_u0X_file-return 0.0122901098470588
1 1 u03 process_mount_log_file_data-return 0.132345925034623
2 1 u03 process_mount_log_file_data-return 0.106769218225352
3 1 u03 process_mount_log_file_data-return 0.0741193494671968
4 1 u03 process_mount_log_file_data-return 0.045828439015873
5 1 u03 process_mount_log_file_data-return 0.0139946796114398
1 2 u03 process_mount_log_file_data-return 0.167189064965863
2 2 u03 process_mount_log_file_data-return 0.146810930874
3 2 u03 process_mount_log_file_data-return 0.0998620481146245
4 2 u03 process_mount_log_file_data-return 0.0741409109151874
5 2 u03 process_mount_log_file_data-return 0.0116095441568627
1 1 u01 process_u01_file-return 0.258374471351515
2 1 u01 process_u01_file-return 0.273735179689379
3 1 u01 process_u01_file-return 0.150252092125
4 1 u01 process_u01_file-return 0.157989752788955
5 1 u01 process_u01_file-return 0.0619162539092702
1 2 u01 process_u01_file-return 0.220216880052
2 2 u01 process_u01_file-return 0.307549180073705
3 2 u01 process_u01_file-return 0.175660789390533
4 2 u01 process_u01_file-return 0.144266513252941
5 2 u01 process_u01_file-return 0.0505615834784314
1 1 u03 process_u03_file-return 0.193381332710794
2 1 u03 process_u03_file-return 0.168066540207243
3 1 u03 process_u03_file-return 0.116241890506958
4 1 u03 process_u03_file-return 0.0794549800853175
5 1 u03 process_u03_file-return 0.038249545035503
1 2 u03 process_u03_file-return 0.232480419257028
2 2 u03 process_u03_file-return 0.216716969382
3 2 u03 process_u03_file-return 0.145965604256917
4 2 u03 process_u03_file-return 0.1136871085286
5 2 u03 process_u03_file-return 0.0347032253960784
1 1 u01 prod_general_processing-return 0.0103981194585859
2 1 u01 prod_general_processing-return 0.0107213866813627
3 1 u01 prod_general_processing-return 0.0106944640853175
4 1 u01 prod_general_processing-return 0.0105706916824458
5 1 u01 prod_general_processing-return 0.00979958637672584
1 2 u01 prod_general_processing-return 0.010601933838
2 2 u01 prod_general_processing-return 0.0106432462091633
3 2 u01 prod_general_processing-return 0.0107161486035503
4 2 u01 prod_general_processing-return 0.0110320843215686
5 2 u01 prod_general_processing-return 0.00969305695098039
1 1 u01 prod_nozzle_processing-return 0.143428060014141
2 1 u01 prod_nozzle_processing-return 0.160801399839679
3 1 u01 prod_nozzle_processing-return 0.0340604465138889
4 1 u01 prod_nozzle_processing-return 0.060476058729783
5 1 u01 prod_nozzle_processing-return 0.0115146350512821
1 2 u01 prod_nozzle_processing-return 0.145574900862
2 2 u01 prod_nozzle_processing-return 0.154742043573705
