equip_id,lane_no,stage_no,total_down_time,prev_proc_wait_time,next_proc_wait_time,singl_cycl_stop_time,chip_supp_wait_time,sldr_ctr_wait_time,sldr_snsr_wait_time,cln_paper_wait_time,real_run_time
1012,1,1,44335,3912,37216,750,666,0,0,0,61222
1012,1,2,30401,3481,20602,512,4514,0,0,0,46142
1014,1,1,44486,17630,6676,421,8847,0,0,0,63743
1014,1,2,40757,25961,4390,379,725,0,0,0,33615
