FID;FTYPE;DATE;TIMESTAMP;MACHINE;LANE;STAGE;OUTPUT;MJSID;LOTNAME;LOTNUMBER;SERIAL;PRODUCTID;PRODUCT;FID;BNDRcgStop;BNDStop;Board;BRcgStop;Bwait;CDErr;CMErr;CnvStop;CPErr;CRErr;CTErr;Cwait;FBStop;Fwait;JointPassWait;JudgeStop;LotBoard;LotModule;McFwait;McRwait;MHRcgStop;Module;OtherLStop;OthrStop;Pwait;Rwait;SCEStop;SCStop;Swait;TDispense;TDMiss;THMiss;TMMiss;TPickup;TPMiss;TPriming;Trbl;TRMiss;TRSErr;TRSMiss
198;u01;20130830042356996;1377854636;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525804;233;PTA635AA001_BA001_CA001_RSA635BA001_4;198;0;0;896;0;0;0;0;0;0;0;0;0;0;44;0;0;896;896;11;846;0;896;832;0;0;1105;0;2;0;0;0;0;0;135321;23;0;0;2;0;0
199;u01;20130830030711544;1377850031;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525848;232;PTA635AA001_BA001_CA001_RRA635BA001_3;199;0;0;934;0;0;0;0;0;0;0;0;0;0;12;0;0;934;934;11;754;0;934;411;0;0;1129;0;2;0;0;0;4;0;176587;48;0;0;9;0;0
200;u01;20130830015739322;1377845859;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525767;232;PTA635AA001_BA001_CA001_RRA635BA001_3;200;0;0;853;0;0;0;0;0;0;0;0;0;0;12;0;0;853;853;11;668;0;853;373;0;0;1027;0;2;0;0;0;4;0;161275;47;0;0;7;0;0
201;u01;20130830045229336;1377856349;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525842;233;PTA635AA001_BA001_CA001_RSA635BA001_4;201;0;0;934;0;0;0;0;0;0;0;0;0;0;44;0;0;934;934;11;873;0;934;870;0;0;1154;1;3;0;0;0;0;0;141060;24;0;0;2;0;0
202;u01;20130830063045831;1377862245;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526082;232;PTA635AA001_BA001_CA001_RRA635BA001_3;202;0;0;1168;0;0;0;0;0;0;0;0;0;0;12;0;0;1168;1168;11;967;0;1168;538;1;1;1417;0;5;0;0;0;4;0;220821;56;0;0;9;0;0
203;u01;20130830030327597;1377849807;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525843;232;PTA635AA001_BA001_CA001_RRA635BA001_3;203;0;0;929;0;0;0;0;0;0;0;0;0;0;12;0;0;929;929;11;747;0;929;410;0;0;1122;0;2;0;0;0;4;0;175642;48;0;0;9;0;0
204;u01;20130830001449785;1377839689;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525503;233;PTA635AA001_BA001_CA001_RSA635BA001_4;204;0;0;595;0;0;0;0;0;0;0;0;0;0;41;0;0;595;595;11;523;0;595;546;0;0;684;0;0;0;0;0;0;0;89855;10;0;0;0;0;0
205;u01;20130830012923427;1377844163;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525732;232;PTA635AA001_BA001_CA001_RRA635BA001_3;205;0;0;818;0;0;0;0;0;0;0;0;0;0;12;0;0;818;818;11;634;0;818;363;0;0;984;0;2;0;0;0;4;0;154658;45;0;0;7;0;0
206;u01;20130830011909713;1377843549;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525579;233;PTA635AA001_BA001_CA001_RSA635BA001_4;206;0;0;671;0;0;0;0;0;0;0;0;0;0;41;0;0;671;671;11;614;0;671;621;0;0;799;0;2;0;0;0;0;0;101337;15;0;0;1;0;0
207;u01;20130830054139273;1377859299;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525887;233;PTA635AA001_BA001_CA001_RSA635BA001_4;207;0;0;979;0;0;0;0;0;0;0;0;0;0;44;0;0;979;979;11;916;0;979;911;0;0;1215;1;5;0;0;0;0;0;147856;25;0;0;2;0;0
208;u01;20130830045950127;1377856790;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525990;232;PTA635AA001_BA001_CA001_RRA635BA001_3;208;0;0;1076;0;0;0;0;0;0;0;0;0;0;12;0;0;1076;1076;11;884;0;1076;487;1;0;1306;0;3;0;0;0;4;0;203430;53;0;0;9;0;0
209;u01;20130830002904696;1377840544;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525521;233;PTA635AA001_BA001_CA001_RSA635BA001_4;209;0;0;613;0;0;0;0;0;0;0;0;0;0;41;0;0;613;613;11;550;0;613;563;0;0;715;0;0;0;0;0;0;0;92575;11;0;0;1;0;0
210;u01;20130830011852381;1377843532;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525718;232;PTA635AA001_BA001_CA001_RRA635BA001_3;210;0;0;804;0;0;0;0;0;0;0;0;0;0;12;0;0;804;804;11;614;0;804;359;0;0;962;0;2;0;0;0;4;0;152011;44;0;0;7;0;0
211;u01;20130830010221162;1377842541;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525557;233;PTA635AA001_BA001_CA001_RSA635BA001_4;211;0;0;649;0;0;0;0;0;0;0;0;0;0;41;0;0;649;649;11;591;0;649;599;0;0;767;0;0;0;0;0;0;0;98013;13;0;0;1;0;0
212;u01;20130830014358805;1377845038;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525610;233;PTA635AA001_BA001_CA001_RSA635BA001_4;212;0;0;702;0;0;0;0;0;0;0;0;0;0;41;0;0;702;702;11;649;0;702;652;0;0;847;0;2;0;0;0;0;0;106018;15;0;0;1;0;0
213;u01;20130830061141296;1377861101;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525924;233;PTA635AA001_BA001_CA001_RSA635BA001_4;213;0;0;1016;0;0;0;0;0;0;0;0;0;0;50;0;0;1016;1016;11;949;0;1016;940;0;0;1261;1;5;0;0;0;0;0;153444;26;0;0;2;0;0
214;u01;20130830033031508;1377851431;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525739;233;PTA635AA001_BA001_CA001_RSA635BA001_4;214;0;0;831;0;0;0;0;0;0;0;0;0;0;44;0;0;831;831;11;786;0;831;770;0;0;1007;0;2;0;0;0;0;0;125501;19;0;0;1;0;0
215;u01;20130830030559571;1377849959;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525707;233;PTA635AA001_BA001_CA001_RSA635BA001_4;215;0;0;799;0;0;0;0;0;0;0;0;0;0;44;0;0;799;799;11;751;0;799;739;0;0;964;0;2;0;0;0;0;0;120667;17;0;0;1;0;0
216;u01;20130830054843048;1377859723;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526035;232;PTA635AA001_BA001_CA001_RRA635BA001_3;216;0;0;1121;0;0;0;0;0;0;0;0;0;0;12;0;0;1121;1121;11;927;0;1121;515;1;1;1362;0;5;0;0;0;4;0;211937;55;0;0;9;0;0
217;u01;20130830021108923;1377846668;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525782;232;PTA635AA001_BA001_CA001_RRA635BA001_3;217;0;0;868;0;0;0;0;0;0;0;0;0;0;12;0;0;868;868;11;691;0;868;381;0;0;1046;0;2;0;0;0;4;0;164112;48;0;0;8;0;0
218;u01;20130830023925874;1377848365;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525673;233;PTA635AA001_BA001_CA001_RSA635BA001_4;218;0;0;765;0;0;0;0;0;0;0;0;0;0;43;0;0;765;765;11;709;0;765;707;0;0;918;0;2;0;0;0;0;0;115531;15;0;0;1;0;0
219;u01;20130830020713981;1377846433;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525638;233;PTA635AA001_BA001_CA001_RSA635BA001_4;219;0;0;730;0;0;0;0;0;0;0;0;0;0;41;0;0;730;730;11;683;0;730;676;0;0;892;0;2;0;0;0;0;0;110246;15;0;0;1;0;0
220;u01;20130830003617564;1377840977;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525528;233;PTA635AA001_BA001_CA001_RSA635BA001_4;220;0;0;620;0;0;0;0;0;0;0;0;0;0;41;0;0;620;620;11;560;0;620;570;0;0;725;0;0;0;0;0;0;0;93632;11;0;0;1;0;0
221;u01;20130830045725739;1377856645;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525988;232;PTA635AA001_BA001_CA001_RRA635BA001_3;221;0;0;1074;0;0;0;0;0;0;0;0;0;0;12;0;0;1074;1074;11;882;0;1074;486;1;0;1304;0;3;0;0;0;4;0;203052;53;0;0;9;0;0
222;u01;20130830023908653;1377848348;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525814;232;PTA635AA001_BA001_CA001_RRA635BA001_3;222;0;0;900;0;0;0;0;0;0;0;0;0;0;12;0;0;900;900;11;709;0;900;403;0;0;1085;0;2;0;0;0;4;0;170161;48;0;0;9;0;0
223;u01;20130830004845698;1377841725;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525543;233;PTA635AA001_BA001_CA001_RSA635BA001_4;223;0;0;635;0;0;0;0;0;0;0;0;0;0;41;0;0;635;635;11;578;0;635;585;0;0;748;0;0;0;0;0;0;0;95897;11;0;0;1;0;0
224;u01;20130830004030994;1377841230;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525673;232;PTA635AA001_BA001_CA001_RRA635BA001_3;224;0;0;759;0;0;0;0;0;0;0;0;0;0;12;0;0;759;759;11;568;0;759;335;0;0;902;0;0;0;0;0;3;0;143503;42;0;0;7;0;0
225;u01;20130830021431592;1377846871;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525786;232;PTA635AA001_BA001_CA001_RRA635BA001_3;225;0;0;872;0;0;0;0;0;0;0;0;0;0;12;0;0;872;872;11;698;0;872;382;0;0;1051;0;2;0;0;0;4;0;164868;48;0;0;8;0;0
226;u01;20130830005021516;1377841821;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525545;233;PTA635AA001_BA001_CA001_RSA635BA001_4;226;0;0;637;0;0;0;0;0;0;0;0;0;0;41;0;0;637;637;11;581;0;637;587;0;0;750;0;0;0;0;0;0;0;96199;11;0;0;1;0;0
227;u01;20130830055815934;1377860295;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525906;233;PTA635AA001_BA001_CA001_RSA635BA001_4;227;0;0;998;0;0;0;0;0;0;0;0;0;0;45;0;0;998;998;11;939;0;998;929;0;0;1248;1;5;0;0;0;0;0;150726;26;0;0;2;0;0
228;u01;20130830055837377;1377860317;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526048;232;PTA635AA001_BA001_CA001_RRA635BA001_3;228;0;0;1134;0;0;0;0;0;0;0;0;0;0;12;0;0;1134;1134;11;939;0;1134;519;1;1;1379;0;5;0;0;0;4;0;214394;55;0;0;9;0;0
229;u01;20130830015614303;1377845774;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525765;232;PTA635AA001_BA001_CA001_RRA635BA001_3;229;0;0;851;0;0;0;0;0;0;0;0;0;0;12;0;0;851;851;11;666;0;851;372;0;0;1025;0;2;0;0;0;4;0;160897;47;0;0;7;0;0
230;u01;20130830005749709;1377842269;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525555;233;PTA635AA001_BA001_CA001_RSA635BA001_4;230;0;0;647;0;0;0;0;0;0;0;0;0;0;41;0;0;647;647;11;589;0;647;597;0;0;765;0;0;0;0;0;0;0;97709;11;0;0;1;0;0
231;u01;20130830062113624;1377861673;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525938;233;PTA635AA001_BA001_CA001_RSA635BA001_4;231;0;0;1030;0;0;0;0;0;0;0;0;0;0;52;0;0;1030;1030;11;967;0;1030;945;0;0;1279;1;5;0;0;0;0;0;155559;27;0;0;2;0;0
232;u01;20130830010757562;1377842877;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525704;232;PTA635AA001_BA001_CA001_RRA635BA001_3;232;0;0;790;0;0;0;0;0;0;0;0;0;0;12;0;0;790;790;11;597;0;790;352;0;0;942;0;0;0;0;0;4;0;149365;44;0;0;7;0;0
233;u01;20130830002435392;1377840275;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525515;233;PTA635AA001_BA001_CA001_RSA635BA001_4;233;0;0;607;0;0;0;0;0;0;0;0;0;0;41;0;0;607;607;11;542;0;607;557;0;0;706;0;0;0;0;0;0;0;91668;10;0;0;1;0;0
234;u01;20130830024456662;1377848696;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525680;233;PTA635AA001_BA001_CA001_RSA635BA001_4;234;0;0;772;0;0;0;0;0;0;0;0;0;0;44;0;0;772;772;11;716;0;772;713;0;0;925;0;2;0;0;0;0;0;116588;15;0;0;1;0;0
235;u01;20130830034931672;1377852571;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525757;233;PTA635AA001_BA001_CA001_RSA635BA001_4;235;0;0;849;0;0;0;0;0;0;0;0;0;0;44;0;0;849;849;11;805;0;849;787;0;0;1032;0;2;0;0;0;0;0;128219;19;0;0;1;0;0
236;u01;20130830001817234;1377839897;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525646;232;PTA635AA001_BA001_CA001_RRA635BA001_3;236;0;0;732;0;0;0;0;0;0;0;0;0;0;12;0;0;732;732;11;531;0;732;329;0;0;865;0;0;0;0;0;3;0;138398;41;0;0;6;0;0
237;u01;20130830050447104;1377857087;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525857;233;PTA635AA001_BA001_CA001_RSA635BA001_4;237;0;0;949;0;0;0;0;0;0;0;0;0;0;44;0;0;949;949;11;890;0;949;885;0;0;1181;1;3;0;0;0;0;0;143325;24;0;0;2;0;0
238;u01;20130830064931359;1377863371;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525957;233;PTA635AA001_BA001_CA001_RSA635BA001_4;238;0;0;1049;0;0;0;0;0;0;0;0;0;0;61;0;0;1049;1049;11;967;0;1049;962;0;0;1279;1;5;0;0;0;0;0;158429;27;0;0;3;0;0
239;u01;20130830035032216;1377852632;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525898;232;PTA635AA001_BA001_CA001_RRA635BA001_3;239;0;0;984;0;0;0;0;0;0;0;0;0;0;12;0;0;984;984;11;805;0;984;434;0;0;1191;0;2;0;0;0;4;0;186039;50;0;0;9;0;0
240;u01;20130830031357968;1377850437;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525857;232;PTA635AA001_BA001_CA001_RRA635BA001_3;240;0;0;943;0;0;0;0;0;0;0;0;0;0;12;0;0;943;943;11;766;0;943;415;0;0;1141;0;2;0;0;0;4;0;178288;48;0;0;9;0;0
241;u01;20130830010519577;1377842719;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525561;233;PTA635AA001_BA001_CA001_RSA635BA001_4;241;0;0;653;0;0;0;0;0;0;0;0;0;0;41;0;0;653;653;11;593;0;653;603;0;0;774;0;0;0;0;0;0;0;98617;13;0;0;1;0;0
242;u01;20130830015156672;1377845516;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525760;232;PTA635AA001_BA001_CA001_RRA635BA001_3;242;0;0;846;0;0;0;0;0;0;0;0;0;0;12;0;0;846;846;11;662;0;846;370;0;0;1017;0;2;0;0;0;4;0;159951;46;0;0;7;0;0
243;u01;20130830062617696;1377861977;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526074;232;PTA635AA001_BA001_CA001_RRA635BA001_3;243;0;0;1160;0;0;0;0;0;0;0;0;0;0;12;0;0;1160;1160;11;967;0;1160;534;1;1;1409;0;5;0;0;0;4;0;219309;56;0;0;9;0;0
244;u01;20130830023339891;1377848019;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525664;233;PTA635AA001_BA001_CA001_RSA635BA001_4;244;0;0;756;0;0;0;0;0;0;0;0;0;0;42;0;0;756;756;11;709;0;756;699;0;0;918;0;2;0;0;0;0;0;114172;15;0;0;1;0;0
245;u01;20130830004550649;1377841550;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525539;233;PTA635AA001_BA001_CA001_RSA635BA001_4;245;0;0;631;0;0;0;0;0;0;0;0;0;0;41;0;0;631;631;11;574;0;631;581;0;0;741;0;0;0;0;0;0;0;95293;11;0;0;1;0;0
246;u01;20130830044528646;1377855928;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525832;233;PTA635AA001_BA001_CA001_RSA635BA001_4;246;0;0;924;0;0;0;0;0;0;0;0;0;0;44;0;0;924;924;11;868;0;924;860;0;0;1135;1;3;0;0;0;0;0;139549;23;0;0;2;0;0
247;u01;20130830065817872;1377863897;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526116;232;PTA635AA001_BA001_CA001_RRA635BA001_3;247;0;0;1202;0;0;0;0;0;0;0;0;0;0;12;0;0;1202;1202;11;967;0;1202;559;1;1;1449;0;5;0;0;0;5;0;227253;59;0;0;11;0;0
248;u01;20130830012458297;1377843898;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525587;233;PTA635AA001_BA001_CA001_RSA635BA001_4;248;0;0;679;0;0;0;0;0;0;0;0;0;0;41;0;0;679;679;11;622;0;679;629;0;0;813;0;2;0;0;0;0;0;102545;15;0;0;1;0;0
249;u01;20130830003900775;1377841140;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525671;232;PTA635AA001_BA001_CA001_RRA635BA001_3;249;0;0;757;0;0;0;0;0;0;0;0;0;0;12;0;0;757;757;11;566;0;757;334;0;0;900;0;0;0;0;0;3;0;143125;42;0;0;7;0;0
250;u01;20130830031142666;1377850302;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525854;232;PTA635AA001_BA001_CA001_RRA635BA001_3;250;0;0;940;0;0;0;0;0;0;0;0;0;0;12;0;0;940;940;11;763;0;940;413;0;0;1138;0;2;0;0;0;4;0;177721;48;0;0;9;0;0
251;u01;20130830020004410;1377846004;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525770;232;PTA635AA001_BA001_CA001_RRA635BA001_3;251;0;0;856;0;0;0;0;0;0;0;0;0;0;12;0;0;856;856;11;673;0;856;375;0;0;1031;0;2;0;0;0;4;0;161843;48;0;0;7;0;0
252;u01;20130830012356254;1377843836;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525725;232;PTA635AA001_BA001_CA001_RRA635BA001_3;252;0;0;811;0;0;0;0;0;0;0;0;0;0;12;0;0;811;811;11;621;0;811;362;0;0;971;0;2;0;0;0;4;0;153335;45;0;0;7;0;0
253;u01;20130830063511549;1377862511;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526089;232;PTA635AA001_BA001_CA001_RRA635BA001_3;253;0;0;1175;0;0;0;0;0;0;0;0;0;0;12;0;0;1175;1175;11;967;0;1175;544;1;1;1421;0;5;0;0;0;4;0;222145;57;0;0;9;0;0
254;u01;20130830021153857;1377846713;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525783;232;PTA635AA001_BA001_CA001_RRA635BA001_3;254;0;0;869;0;0;0;0;0;0;0;0;0;0;12;0;0;869;869;11;692;0;869;381;0;0;1047;0;2;0;0;0;4;0;164301;48;0;0;8;0;0
255;u01;20130830055332912;1377860012;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525902;233;PTA635AA001_BA001_CA001_RSA635BA001_4;255;0;0;994;0;0;0;0;0;0;0;0;0;0;44;0;0;994;994;11;934;0;994;926;0;0;1242;1;5;0;0;0;0;0;150122;26;0;0;2;0;0
256;u01;20130830013625304;1377844585;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525600;233;PTA635AA001_BA001_CA001_RSA635BA001_4;256;0;0;692;0;0;0;0;0;0;0;0;0;0;41;0;0;692;692;11;640;0;692;642;0;0;831;0;2;0;0;0;0;0;104508;15;0;0;1;0;0
257;u01;20130830054009256;1377859209;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525885;233;PTA635AA001_BA001_CA001_RSA635BA001_4;257;0;0;977;0;0;0;0;0;0;0;0;0;0;44;0;0;977;977;11;914;0;977;909;0;0;1213;1;5;0;0;0;0;0;147554;25;0;0;2;0;0
258;u01;20130830002248958;1377840168;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525652;232;PTA635AA001_BA001_CA001_RRA635BA001_3;258;0;0;738;0;0;0;0;0;0;0;0;0;0;12;0;0;738;738;11;538;0;738;329;0;0;872;0;0;0;0;0;3;0;139533;42;0;0;6;0;0
259;u01;20130830033202753;1377851522;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525741;233;PTA635AA001_BA001_CA001_RSA635BA001_4;259;0;0;833;0;0;0;0;0;0;0;0;0;0;44;0;0;833;833;11;788;0;833;772;0;0;1009;0;2;0;0;0;0;0;125803;19;0;0;1;0;0
260;u01;20130830044147749;1377855707;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525827;233;PTA635AA001_BA001_CA001_RSA635BA001_4;260;0;0;919;0;0;0;0;0;0;0;0;0;0;44;0;0;919;919;11;866;0;919;855;0;0;1132;1;3;0;0;0;0;0;138794;23;0;0;2;0;0
261;u01;20130830064015160;1377862815;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525956;233;PTA635AA001_BA001_CA001_RSA635BA001_4;261;0;0;1048;0;0;0;0;0;0;0;0;0;0;60;0;0;1048;1048;11;967;0;1048;962;0;0;1279;1;5;0;0;0;0;0;158278;27;0;0;3;0;0
262;u01;20130830025440204;1377849280;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525692;233;PTA635AA001_BA001_CA001_RSA635BA001_4;262;0;0;784;0;0;0;0;0;0;0;0;0;0;44;0;0;784;784;11;730;0;784;724;0;0;941;0;2;0;0;0;0;0;118402;17;0;0;1;0;0
263;u01;20130830053923918;1377859163;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525884;233;PTA635AA001_BA001_CA001_RSA635BA001_4;263;0;0;976;0;0;0;0;0;0;0;0;0;0;44;0;0;976;976;11;912;0;976;908;0;0;1212;1;5;0;0;0;0;0;147403;25;0;0;2;0;0
264;u01;20130830013758663;1377844678;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525602;233;PTA635AA001_BA001_CA001_RSA635BA001_4;264;0;0;694;0;0;0;0;0;0;0;0;0;0;41;0;0;694;694;11;643;0;694;644;0;0;835;0;2;0;0;0;0;0;104810;15;0;0;1;0;0
265;u01;20130830045124719;1377856284;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525980;232;PTA635AA001_BA001_CA001_RRA635BA001_3;265;0;0;1066;0;0;0;0;0;0;0;0;0;0;12;0;0;1066;1066;11;872;0;1066;484;1;0;1291;0;3;0;0;0;4;0;201540;53;0;0;9;0;0
266;u01;20130830035612727;1377852972;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525906;232;PTA635AA001_BA001_CA001_RRA635BA001_3;266;0;0;992;0;0;0;0;0;0;0;0;0;0;12;0;0;992;992;11;807;0;992;441;0;0;1204;0;2;0;0;0;4;0;187553;52;0;0;9;0;0
267;u01;20130830042526671;1377854726;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525806;233;PTA635AA001_BA001_CA001_RSA635BA001_4;267;0;0;898;0;0;0;0;0;0;0;0;0;0;44;0;0;898;898;11;848;0;898;834;0;0;1108;0;2;0;0;0;0;0;135623;23;0;0;2;0;0
268;u01;20130830032852032;1377851332;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525876;232;PTA635AA001_BA001_CA001_RRA635BA001_3;268;0;0;962;0;0;0;0;0;0;0;0;0;0;12;0;0;962;962;11;785;0;962;423;0;0;1167;0;2;0;0;0;4;0;181881;50;0;0;9;0;0
269;u01;20130830004048246;1377841248;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525534;233;PTA635AA001_BA001_CA001_RSA635BA001_4;269;0;0;626;0;0;0;0;0;0;0;0;0;0;41;0;0;626;626;11;568;0;626;576;0;0;734;0;0;0;0;0;0;0;94538;11;0;0;1;0;0
270;u01;20130830022138176;1377847298;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525654;233;PTA635AA001_BA001_CA001_RSA635BA001_4;270;0;0;746;0;0;0;0;0;0;0;0;0;0;41;0;0;746;746;11;707;0;746;690;0;0;914;0;2;0;0;0;0;0;112662;15;0;0;1;0;0
271;u01;20130830003747327;1377841067;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525530;233;PTA635AA001_BA001_CA001_RSA635BA001_4;271;0;0;622;0;0;0;0;0;0;0;0;0;0;41;0;0;622;622;11;563;0;622;572;0;0;729;0;0;0;0;0;0;0;93934;11;0;0;1;0;0
272;u01;20130830004326225;1377841406;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525537;233;PTA635AA001_BA001_CA001_RSA635BA001_4;272;0;0;629;0;0;0;0;0;0;0;0;0;0;41;0;0;629;629;11;571;0;629;579;0;0;737;0;0;0;0;0;0;0;94991;11;0;0;1;0;0
273;u01;20130830053421036;1377858861;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525877;233;PTA635AA001_BA001_CA001_RSA635BA001_4;273;0;0;969;0;0;0;0;0;0;0;0;0;0;44;0;0;969;969;11;907;0;969;901;0;0;1202;1;5;0;0;0;0;0;146346;25;0;0;2;0;0
274;u01;20130830025935670;1377849575;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525838;232;PTA635AA001_BA001_CA001_RRA635BA001_3;274;0;0;924;0;0;0;0;0;0;0;0;0;0;12;0;0;924;924;11;741;0;924;410;0;0;1116;0;2;0;0;0;4;0;174697;48;0;0;9;0;0
275;u01;20130830014341541;1377845021;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525749;232;PTA635AA001_BA001_CA001_RRA635BA001_3;275;0;0;835;0;0;0;0;0;0;0;0;0;0;12;0;0;835;835;11;649;0;835;370;0;0;1004;0;2;0;0;0;4;0;157872;46;0;0;7;0;0
276;u01;20130830031716817;1377850636;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525722;233;PTA635AA001_BA001_CA001_RSA635BA001_4;276;0;0;814;0;0;0;0;0;0;0;0;0;0;44;0;0;814;814;11;772;0;814;754;0;0;984;0;2;0;0;0;0;0;122932;17;0;0;1;0;0
277;u01;20130830015405525;1377845645;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525762;232;PTA635AA001_BA001_CA001_RRA635BA001_3;277;0;0;848;0;0;0;0;0;0;0;0;0;0;12;0;0;848;848;11;663;0;848;371;0;0;1021;0;2;0;0;0;4;0;160329;46;0;0;7;0;0
278;u01;20130830020952889;1377846592;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525641;233;PTA635AA001_BA001_CA001_RSA635BA001_4;278;0;0;733;0;0;0;0;0;0;0;0;0;0;41;0;0;733;733;11;688;0;733;678;0;0;895;0;2;0;0;0;0;0;110699;15;0;0;1;0;0
279;u01;20130830021533898;1377846933;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525648;233;PTA635AA001_BA001_CA001_RSA635BA001_4;279;0;0;740;0;0;0;0;0;0;0;0;0;0;41;0;0;740;740;11;699;0;740;684;0;0;905;0;2;0;0;0;0;0;111756;15;0;0;1;0;0
