FID;FTYPE;DATE;TIMESTAMP;MACHINE;LANE;STAGE;OUTPUT;MJSID;LOTNAME;LOTNUMBER;SERIAL;PRODUCTID;PRODUCT;FID;BNDRcgStop;BNDStop;Board;BRcgStop;Bwait;CDErr;CMErr;CnvStop;CPErr;CRErr;CTErr;Cwait;FBStop;Fwait;JointPassWait;JudgeStop;LotBoard;LotModule;McFwait;McRwait;MHRcgStop;Module;OtherLStop;OthrStop;Pwait;Rwait;SCEStop;SCStop;Swait;TDispense;TDMiss;THMiss;TMMiss;TPickup;TPMiss;TPriming;Trbl;TRMiss;TRSErr;TRSMiss
17;u01;20130830013254364;1377844374;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525595;233;PTA635AA001_BA001_CA001_RSA635BA001_4;17;0;0;687;0;0;0;0;0;0;0;0;0;0;41;0;0;687;687;11;638;0;687;637;0;0;824;0;2;0;0;0;0;0;103753;15;0;0;1;0;0
18;u01;20130830052029969;1377858029;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526006;232;PTA635AA001_BA001_CA001_RRA635BA001_3;18;0;0;1092;0;0;0;0;0;0;0;0;0;0;12;0;0;1092;1092;11;900;0;1092;493;1;0;1324;0;5;0;0;0;4;0;206455;54;0;0;9;0;0
19;u01;20130830024309549;1377848589;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525817;232;PTA635AA001_BA001_CA001_RRA635BA001_3;19;0;0;903;0;0;0;0;0;0;0;0;0;0;12;0;0;903;903;11;714;0;903;404;0;0;1090;0;2;0;0;0;4;0;170728;48;0;0;9;0;0
20;u01;20130830053752788;1377859072;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525882;233;PTA635AA001_BA001_CA001_RSA635BA001_4;20;0;0;974;0;0;0;0;0;0;0;0;0;0;44;0;0;974;974;11;908;0;974;906;0;0;1209;1;5;0;0;0;0;0;147101;25;0;0;2;0;0
21;u01;20130830062945696;1377862185;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525943;233;PTA635AA001_BA001_CA001_RSA635BA001_4;21;0;0;1035;0;0;0;0;0;0;0;0;0;0;55;0;0;1035;1035;11;967;0;1035;950;0;0;1279;1;5;0;0;0;0;0;156314;27;0;0;2;0;0
22;u01;20130830035249531;1377852769;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525762;233;PTA635AA001_BA001_CA001_RSA635BA001_4;22;0;0;854;0;0;0;0;0;0;0;0;0;0;44;0;0;854;854;11;805;0;854;792;0;0;1038;0;2;0;0;0;0;0;128974;19;0;0;1;0;0
23;u01;20130830003121434;1377840681;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525524;233;PTA635AA001_BA001_CA001_RSA635BA001_4;23;0;0;616;0;0;0;0;0;0;0;0;0;0;41;0;0;616;616;11;554;0;616;566;0;0;719;0;0;0;0;0;0;0;93028;11;0;0;1;0;0
24;u01;20130830014745014;1377845265;01;1;1;3;PTA635AA001_BA001_CA001;RSA635BA001;4;525615;233;PTA635AA001_BA001_CA001_RSA635BA001_4;24;0;0;707;0;0;0;0;0;0;0;0;0;0;41;0;0;707;707;11;654;0;707;657;0;0;856;0;2;0;0;0;0;0;106773;15;0;0;1;0;0
25;u01;20130830043538895;1377855338;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;525959;232;PTA635AA001_BA001_CA001_RRA635BA001_3;25;0;0;1045;0;0;0;0;0;0;0;0;0;0;12;0;0;1045;1045;11;863;0;1045;465;0;0;1273;0;2;0;0;0;4;0;197571;53;0;0;9;0;0
26;u01;20130830062213858;1377861733;01;2;1;3;PTA635AA001_BA001_CA001;RRA635BA001;3;526068;232;PTA635AA001_BA001_CA001_RRA635BA001_3;26;0;0;1154;0;0;0;0;0;0;0;0;0;0;12;0;0;1154;1154;11;967;0;1154;531;1;1;1404;0;5;0;0;0;4;0;218175;56;0;0;9;0;0
