START TABLE: product_setup
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_SETUP	PRODUCT_ID	0	108	numeric	38
PRODUCT_SETUP	ROUTE_ID	0	108	numeric	38
PRODUCT_SETUP	MIX_NAME	0	231	nvarchar	0
PRODUCT_SETUP	SETUP_ID	1	108	numeric	38
PRODUCT_SETUP	LDF_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	MACHINE_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	SETUP_VALID_FLAG	0	231	nvarchar	0
PRODUCT_SETUP	LAST_MODIFIED_TIME	0	108	numeric	38
PRODUCT_SETUP	DOS_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	MODEL_STRING	0	231	nvarchar	0
PRODUCT_SETUP	TOP_BOTTOM	0	231	nvarchar	0
PRODUCT_SETUP	PT_GROUP_NAME	0	231	nvarchar	0
PRODUCT_SETUP	PT_LOT_NAME	0	231	nvarchar	0
PRODUCT_SETUP	PT_MC_FILE_NAME	0	231	nvarchar	0
PRODUCT_SETUP	PT_DOWNLOADED_FLAG	0	231	nvarchar	0
PRODUCT_SETUP	PT_NEEDS_DOWNLOAD	0	231	nvarchar	0
PRODUCT_SETUP	SUB_PARTS_FLAG	0	231	nvarchar	0
PRODUCT_SETUP	BARCODE_SIDE	0	231	nvarchar	0
PRODUCT_SETUP	CYCLE_TIME	0	108	numeric	38
PRODUCT_SETUP	IMPORT_SOURCE	0	108	numeric	38
PRODUCT_SETUP	MODIFIED_IMPORT_SOURCE	0	108	numeric	38
PRODUCT_SETUP	THEORETICAL_XOVER_TIME	0	108	numeric	38
PRODUCT_SETUP	PUBLISH_MODE	0	56	int	10
PRODUCT_SETUP	PCB_NAME	0	231	nvarchar	0
PRODUCT_SETUP	MASTER_MJS_ID	0	231	nvarchar	0
PRODUCT_SETUP	LED_VALID_FLAG	0	231	nvarchar	0
END METADATA:
START DATA:
PRODUCT_ID	ROUTE_ID	MIX_NAME	SETUP_ID	LDF_FILE_NAME	MACHINE_FILE_NAME	SETUP_VALID_FLAG	LAST_MODIFIED_TIME	DOS_FILE_NAME	MODEL_STRING	TOP_BOTTOM	PT_GROUP_NAME	PT_LOT_NAME	PT_MC_FILE_NAME	PT_DOWNLOADED_FLAG	PT_NEEDS_DOWNLOAD	SUB_PARTS_FLAG	BARCODE_SIDE	CYCLE_TIME	IMPORT_SOURCE	MODIFIED_IMPORT_SOURCE	THEORETICAL_XOVER_TIME	PUBLISH_MODE	PCB_NAME	MASTER_MJS_ID	LED_VALID_FLAG
1001	1001	PTA305AA_BA_RRA305AA002_1	5189	N.A.	TEMP_VALUE	T	1338962253	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA_BA_RRA305BA001_2	5190	N.A.	TEMP_VALUE	T	1338962253	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA_BA_RSA305AA002_3	5191	N.A.	TEMP_VALUE	T	1338962253	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA_BA_RSA305BA001_4	5192	N.A.	TEMP_VALUE	T	1338962253	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA292AA_RRA292AA000_1	5211	N.A.	TEMP_VALUE	T	1339044937	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA292AA_RSA292AA000_2	5212	N.A.	TEMP_VALUE	T	1339044938	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1013	1001	PTA290AA000_RRA290AA000_1	5213	N.A.	ID5213	T	1348121264	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	23.39	2	2	NULL	0	NULL	NULL	F
1014	1001	PTA290AA000_RSA290AA000_2	5215	N.A.	ID5215	T	1348121265	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	22.732	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA000_RRA307AA000_1	5291	N.A.	TEMP_VALUE	T	1339227731	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA000_RRA309AA000_2	5292	N.A.	TEMP_VALUE	T	1339227731	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA000_RSA307AA000_3	5293	N.A.	TEMP_VALUE	T	1339227731	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA000_RSA309AA000_4	5294	N.A.	TEMP_VALUE	T	1339227731	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA002_BA001_RRA305AA002_1	5359	N.A.	TEMP_VALUE	T	1339434437	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA002_BA001_RRA305BA001_2	5360	N.A.	TEMP_VALUE	T	1339434438	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA002_BA001_RSA305AA002_3	5361	N.A.	TEMP_VALUE	T	1339434438	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA305AA002_BA001_RSA305BA001_4	5362	N.A.	TEMP_VALUE	T	1339434438	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1017	1001	PTA292AA000_RRA292AA000_1	5363	N.A.	ID5363	T	1365391569	N.A.	NULL	B	NULL	NULL	NULL	F	T	T	T	34.026	2	2	NULL	0	NULL	NULL	F
1018	1001	PTA292AA000_RSA292AA000_2	5365	N.A.	ID5365	T	1365391597	N.A.	NULL	T	NULL	NULL	NULL	F	T	T	T	31.4	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA001_RRA307AA000_1	5447	N.A.	TEMP_VALUE	T	1339562784	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA001_RSA307AA000_3	5449	N.A.	TEMP_VALUE	T	1339562785	N.A.	NULL	T	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA001_RRA307AA001_1	5460	N.A.	TEMP_VALUE	T	1339631406	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
1001	1001	PTA307AA000_PTA309AA001_RRA309AA001_2	5461	N.A.	TEMP_VALUE	T	1339631407	N.A.	NULL	B	NULL	NULL	NULL	F	F	T	T	NULL	2	2	NULL	0	NULL	NULL	F
