START TABLE: product_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_DATA	PRODUCT_ID	1	108	numeric	38
PRODUCT_DATA	PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	DOS_PRODUCT_NAME	0	231	nvarchar	0
PRODUCT_DATA	PATTERNS_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PANEL_WIDTH	0	108	numeric	38
PRODUCT_DATA	PANEL_LENGTH	0	108	numeric	38
PRODUCT_DATA	PANEL_THICKNESS	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_TOP	0	108	numeric	38
PRODUCT_DATA	CAMERA_XAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	CAMERA_YAXIS_BOTTOM	0	108	numeric	38
PRODUCT_DATA	TOOLING_PIN_DISTANCE	0	108	numeric	38
PRODUCT_DATA	BARCODES_PER_PANEL	0	108	numeric	38
PRODUCT_DATA	PRODUCT_VALID_FLAG	0	231	nvarchar	0
PRODUCT_DATA	TOOLING_PIN	0	231	nvarchar	0
PRODUCT_DATA	CONVEYOR_SPEED	0	108	numeric	38
PRODUCT_DATA	USE_BRD_FILE	0	231	nvarchar	0
PRODUCT_DATA	BASE_PRODUCT_ID	0	108	numeric	38
END METADATA:
START DATA:
PRODUCT_ID	PRODUCT_NAME	DOS_PRODUCT_NAME	PATTERNS_PER_PANEL	PANEL_WIDTH	PANEL_LENGTH	PANEL_THICKNESS	CAMERA_XAXIS_TOP	CAMERA_YAXIS_TOP	CAMERA_XAXIS_BOTTOM	CAMERA_YAXIS_BOTTOM	TOOLING_PIN_DISTANCE	BARCODES_PER_PANEL	PRODUCT_VALID_FLAG	TOOLING_PIN	CONVEYOR_SPEED	USE_BRD_FILE	BASE_PRODUCT_ID
1044	RSA205AA000	RSA205AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1045	RRA205AA001	RRA205AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1046	RSA205AA001	RSA205AA001	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1047	RRA207AA000	RRA207AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1048	RSA207AA000	RSA207AA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1049	RRA207BA000	RRA207BA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1050	RSA207BA000	RSA207BA000	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1051	RRA205AA002	RRA205AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1052	RSA205AA002	RSA205AA002	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1053	DUMMY-LANE1	DUMMY-LANE1	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1054	DUMMY-LANE2	DUMMY-LANE2	1	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1055	RRA038EATEST	RRA038EATEST	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1056	RSA038EATEST	RSA038EATEST	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1057	RRA038GATEST	RRA038GATEST	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1058	RSA038GATEST	RSA038GATEST	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1059	RRA038MATEST	RRA038MATEST	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1060	RSA038MATEST	RSA038MATEST	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
1061	RRA038EA000	RRA038EA000	2	0	0	0	0	0	0	0	0	1	T	F	0	F	NULL
