START TABLE: nc_summary
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
NC_SUMMARY	SETUP_ID	0	108	numeric	38
NC_SUMMARY	EQUIPMENT_ID	0	108	numeric	38
NC_SUMMARY	NC_VERSION	1	108	numeric	38
NC_SUMMARY	TVA	0	108	numeric	38
NC_SUMMARY	DOUBLE_FEEDER_FLAG	0	231	nvarchar	0
NC_SUMMARY	GLUE_TOTAL	0	108	numeric	38
NC_SUMMARY	SOLDER_TOTAL	0	108	numeric	38
END METADATA:
START DATA:
SETUP_ID	EQUIPMENT_ID	NC_VERSION	TVA	DOUBLE_FEEDER_FLAG	GLUE_TOTAL	SOLDER_TOTAL
16367	1012	79351	106	T	0	0
16367	1013	79352	56	T	0	0
16367	1014	79353	6	T	0	0
16369	1010	79354	180	T	0	0
16369	1011	79355	196	T	0	0
16369	1012	79356	96	T	0	0
16369	1013	79357	66	T	0	0
16369	1014	79358	6	T	0	0
16371	1010	79359	112	T	0	0
16371	1011	79360	170	T	0	0
16371	1012	79361	106	T	0	0
16371	1013	79362	56	T	0	0
16371	1014	79363	6	T	0	0
16373	1010	79364	174	T	0	0
16373	1011	79365	212	T	0	0
16373	1012	79366	94	T	0	0
16373	1013	79367	70	T	0	0
16373	1014	79368	6	T	0	0
16375	1010	79369	104	T	0	0
16375	1011	79370	160	T	0	0
16375	1012	79371	90	T	0	0
16375	1013	79372	48	T	0	0
16375	1014	79373	6	T	0	0
14003	1010	79694	223	T	0	0
14003	1011	79695	234	T	0	0
14003	1012	79696	118	T	0	0
14003	1013	79697	64	T	0	0
14003	1014	79698	4	T	0	0
14005	1010	79699	173	T	0	0
14005	1011	79700	164	T	0	0
14005	1012	79701	107	T	0	0
14005	1013	79702	67	T	0	0
14005	1014	79703	13	T	0	0
14007	1010	79704	222	T	0	0
14007	1011	79705	241	T	0	0
14007	1012	79706	119	T	0	0
14007	1013	79707	65	T	0	0
14007	1014	79708	3	T	0	0
14009	1010	79709	184	T	0	0
14009	1011	79710	169	T	0	0
14009	1012	79711	106	T	0	0
14009	1013	79712	65	T	0	0
14009	1014	79713	13	T	0	0
14011	1010	79714	224	T	0	0
14011	1011	79715	238	T	0	0
14011	1012	79716	119	T	0	0
14011	1013	79717	58	T	0	0
14011	1014	79718	3	T	0	0
14013	1010	79719	157	T	0	0
14013	1011	79720	157	T	0	0
14013	1012	79721	102	T	0	0
14013	1013	79722	51	T	0	0
14013	1014	79723	14	T	0	0
14015	1010	79724	450	T	0	0
14015	1011	79725	480	T	0	0
14015	1012	79726	218	T	0	0
14015	1013	79727	112	T	0	0
14015	1014	79728	8	T	0	0
14017	1010	79729	318	T	0	0
14017	1011	79730	308	T	0	0
14017	1012	79731	214	T	0	0
14017	1013	79732	104	T	0	0
14017	1014	79733	26	T	0	0
14003	1010	79734	223	T	0	0
14003	1011	79735	234	T	0	0
14003	1012	79736	118	T	0	0
14003	1013	79737	64	T	0	0
14003	1014	79738	4	T	0	0
14005	1010	79739	173	T	0	0
14005	1011	79740	164	T	0	0
14005	1012	79741	107	T	0	0
14005	1013	79742	67	T	0	0
14005	1014	79743	13	T	0	0
14007	1010	79744	222	T	0	0
14007	1011	79745	241	T	0	0
14007	1012	79746	119	T	0	0
14007	1013	79747	65	T	0	0
14007	1014	79748	3	T	0	0
14009	1010	79749	184	T	0	0
14009	1011	79750	169	T	0	0
14009	1012	79751	106	T	0	0
14009	1013	79752	65	T	0	0
14009	1014	79753	13	T	0	0
14011	1010	79754	224	T	0	0
14011	1011	79755	238	T	0	0
14011	1012	79756	119	T	0	0
14011	1013	79757	58	T	0	0
14011	1014	79758	3	T	0	0
14013	1010	79759	157	T	0	0
14013	1011	79760	157	T	0	0
14013	1012	79761	102	T	0	0
14013	1013	79762	51	T	0	0
14013	1014	79763	14	T	0	0
14015	1010	79764	450	T	0	0
14015	1011	79765	480	T	0	0
14015	1012	79766	218	T	0	0
14015	1013	79767	112	T	0	0
14015	1014	79768	8	T	0	0
14017	1010	79769	318	T	0	0
14017	1011	79770	308	T	0	0
14017	1012	79771	214	T	0	0
14017	1013	79772	104	T	0	0
14017	1014	79773	26	T	0	0
16317	1010	83074	234	T	0	0
16317	1011	83075	213	T	0	0
16317	1012	83076	87	T	0	0
16317	1013	83077	46	T	0	0
16317	1014	83078	7	T	0	0
16319	1010	83079	90	T	0	0
