START TABLE: product_run_history
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PRODUCT_RUN_HISTORY	PRODUCT_RUN_HISTORY_ID	1	56	int	10
PRODUCT_RUN_HISTORY	EQUIPMENT_ID	0	56	int	10
PRODUCT_RUN_HISTORY	LANE_NO	0	56	int	10
PRODUCT_RUN_HISTORY	SETUP_ID	0	56	int	10
PRODUCT_RUN_HISTORY	START_TIME	0	56	int	10
PRODUCT_RUN_HISTORY	END_TIME	0	56	int	10
PRODUCT_RUN_HISTORY	STAGE_NO	0	56	int	10
PRODUCT_RUN_HISTORY	PLAN_CYCLE_TIME	0	108	numeric	38
PRODUCT_RUN_HISTORY	CYCLE_TIME1	0	108	numeric	38
PRODUCT_RUN_HISTORY	CYCLE_TIME2	0	108	numeric	38
PRODUCT_RUN_HISTORY	CYCLE_TIME3	0	108	numeric	38
PRODUCT_RUN_HISTORY	BOTTLENECK_MACHINE	0	56	int	10
PRODUCT_RUN_HISTORY	MOUNT_MODE	0	56	int	10
PRODUCT_RUN_HISTORY	ACTUAL_TIME	0	108	numeric	38
PRODUCT_RUN_HISTORY	PRODUCTION_TIME	0	108	numeric	38
END METADATA:
START DATA:
PRODUCT_RUN_HISTORY_ID	EQUIPMENT_ID	LANE_NO	SETUP_ID	START_TIME	END_TIME	STAGE_NO	PLAN_CYCLE_TIME	CYCLE_TIME1	CYCLE_TIME2	CYCLE_TIME3	BOTTLENECK_MACHINE	MOUNT_MODE	ACTUAL_TIME	PRODUCTION_TIME
11484	1010	1	17337	1376197258	1376205066	1	NULL	0	0	0	0	0	0	0
11485	1010	2	17335	1376197258	1376205038	1	NULL	0	0	0	0	0	0	0
11486	1011	1	17337	1376197258	1376205068	1	NULL	0	0	0	0	0	0	0
11487	1011	2	17335	1376197258	1376205039	1	NULL	0	0	0	0	0	0	0
11488	1012	1	17337	1376197258	1376205068	1	NULL	0	0	0	0	0	0	0
11489	1012	2	17335	1376197258	1376205041	1	NULL	0	0	0	0	0	0	0
11490	1013	1	17337	1376197258	1376205069	1	NULL	0	0	0	0	0	0	0
11491	1013	2	17335	1376197258	1376205039	1	NULL	0	0	0	0	0	0	0
11492	1014	1	17337	1376197258	1376205068	1	NULL	0	0	0	0	0	0	0
11493	1014	2	17335	1376197258	1376205040	1	NULL	0	0	0	0	0	0	0
11501	1010	2	17355	1376205038	1376347314	1	NULL	0	0	0	0	0	0	0
11502	1011	2	17355	1376205039	1376347316	1	NULL	0	0	0	0	0	0	0
11503	1013	2	17355	1376205039	1376347317	1	NULL	0	0	0	0	0	0	0
11504	1014	2	17355	1376205040	1376347317	1	NULL	0	0	0	0	0	0	0
11505	1012	2	17355	1376205041	1376347316	1	NULL	0	0	0	0	0	0	0
11506	1010	1	17357	1376205066	1376347288	1	NULL	0	0	0	0	0	0	0
11507	1014	1	17357	1376205068	1376347290	1	NULL	0	0	0	0	0	0	0
11508	1012	1	17357	1376205068	1376347291	1	NULL	0	0	0	0	0	0	0
11509	1011	1	17357	1376205068	1376347291	1	NULL	0	0	0	0	0	0	0
11510	1013	1	17357	1376205069	1376347291	1	NULL	0	0	0	0	0	0	0
11541	1010	1	17337	1376347288	1376430972	1	NULL	0	0	0	0	0	0	0
11542	1014	1	17337	1376347290	1376430977	1	NULL	0	0	0	0	0	0	0
11543	1013	1	17337	1376347291	1376430973	1	NULL	0	0	0	0	0	0	0
11544	1011	1	17337	1376347291	1376430974	1	NULL	0	0	0	0	0	0	0
