START TABLE: panel_placement_header
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
PANEL_PLACEMENT_HEADER	PANEL_EQUIPMENT_ID	0	108	numeric	38
PANEL_PLACEMENT_HEADER	EQUIPMENT_ID	0	108	numeric	38
PANEL_PLACEMENT_HEADER	MASTER_PLACEMENT_ID	0	108	numeric	38
PANEL_PLACEMENT_HEADER	PANEL_PLACEMENT_ID	1	108	numeric	38
PANEL_PLACEMENT_HEADER	TIMESTAMP	0	108	numeric	38
PANEL_PLACEMENT_HEADER	TRX_PRODUCT_ID	0	231	nvarchar	0
END METADATA:
START DATA:
PANEL_EQUIPMENT_ID	EQUIPMENT_ID	MASTER_PLACEMENT_ID	PANEL_PLACEMENT_ID	TIMESTAMP	TRX_PRODUCT_ID
1000	1010	1000	1000	1377838840	20130830000040152-01-1-2-525627--4--525627.u03
1001	1010	1001	1001	1377838859	20130830000059157-01-1-1-525488-A635BA      058840FZ38-4-A635BA-058840FZ38.u03
1002	1010	1002	1002	1377838888	20130830000128904-01-1-2-525628--4--525628.u03
1003	1010	1003	1003	1377838906	20130830000146113-01-1-1-525489-A635BA      058850FZ38-4-A635BA-058850FZ38.u03
1004	1010	1004	1004	1377838932	20130830000212425-01-1-2-525629--4--525629.u03
1005	1010	1005	1005	1377838949	20130830000229663-01-1-1-525490-A635BA      058860FZ38-4-A635BA-058860FZ38.u03
1006	1010	1006	1006	1377838975	20130830000255282-01-1-2-525630--4--525630.u03
1007	1010	1007	1007	1377838992	20130830000312640-01-1-1-525491-A635BA      058870FZ38-4-A635BA-058870FZ38.u03
1008	1010	1008	1008	1377839017	20130830000337509-01-1-2-525631--4--525631.u03
1009	1010	1009	1009	1377839036	20130830000356107-01-1-1-525492-A635BA      058880FZ38-4-A635BA-058880FZ38.u03
1010	1010	1010	1010	1377839058	20130830000418770-01-1-2-525632--4--525632.u03
1011	1010	1011	1011	1377839075	20130830000435983-01-1-1-525493-A635BA      058690FZ38-4-A635BA-058690FZ38.u03
1012	1010	1012	1012	1377839109	20130830000509204-01-1-2-525633--4--525633.u03
1013	1010	1013	1013	1377839127	20130830000527064-01-1-1-525494-A635BA      058700FZ38-4-A635BA-058700FZ38.u03
1014	1010	1014	1014	1377839164	20130830000604435-01-1-2-525634--4--525634.u03
