START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
525658	 	1191070	1191066	 	17254	T	1452272764	0
059650FZ38	A635BA	1191071	1191067	A635BA      059650FZ38	17256	T	1452272764	0
525659	 	1191072	1191068	 	17254	T	1452272764	0
059660FZ38	A635BA	1191073	1191069	A635BA      059660FZ38	17256	T	1452272764	0
525660	 	1191074	1191070	 	17254	T	1452272765	0
059670FZ38	A635BA	1191075	1191071	A635BA      059670FZ38	17256	T	1452272765	0
525661	 	1191076	1191072	 	17254	T	1452272765	0
059680FZ38	A635BA	1191077	1191073	A635BA      059680FZ38	17256	T	1452272765	0
525662	 	1191078	1191074	 	17254	T	1452272766	0
059490FZ38	A635BA	1191079	1191075	A635BA      059490FZ38	17256	T	1452272766	0
525663	 	1191080	1191076	 	17254	T	1452272766	0
059500FZ38	A635BA	1191081	1191077	A635BA      059500FZ38	17256	T	1452272811	0
525664	 	1191082	1191078	 	17254	T	1452272811	0
059510FZ38	A635BA	1191083	1191079	A635BA      059510FZ38	17256	T	1452272812	0
525665	 	1191084	1191080	 	17254	T	1452272812	0
059530FZ38	A635BA	1191085	1191081	A635BA      059530FZ38	17256	T	1452272812	0
525666	 	1191086	1191082	 	17254	T	1452272812	0
059540FZ38	A635BA	1191087	1191083	A635BA      059540FZ38	17256	T	1452272812	0
525667	 	1191088	1191084	 	17254	T	1452272813	0
059550FZ38	A635BA	1191089	1191085	A635BA      059550FZ38	17256	T	1452272813	0
525668	 	1191090	1191086	 	17254	T	1452272813	0
059560FZ38	A635BA	1191091	1191087	A635BA      059560FZ38	17256	T	1452272813	0
525669	 	1191092	1191088	 	17254	T	1452272814	0
059570FZ38	A635BA	1191093	1191089	A635BA      059570FZ38	17256	T	1452272814	0
525670	 	1191094	1191090	 	17254	T	1452272814	0
059580FZ38	A635BA	1191095	1191091	A635BA      059580FZ38	17256	T	1452272814	0
525671	 	1191096	1191092	 	17254	T	1452272815	0
059390FZ38	A635BA	1191097	1191093	A635BA      059390FZ38	17256	T	1452272815	0
525672	 	1191098	1191094	 	17254	T	1452272815	0
059410FZ38	A635BA	1191099	1191095	A635BA      059410FZ38	17256	T	1452272815	0
525673	 	1191100	1191096	 	17254	T	1452272815	0
059420FZ38	A635BA	1191101	1191097	A635BA      059420FZ38	17256	T	1452272816	0
525674	 	1191102	1191098	 	17254	T	1452272816	0
059430FZ38	A635BA	1191103	1191099	A635BA      059430FZ38	17256	T	1452272816	0
525675	 	1191104	1191100	 	17254	T	1452272816	0
