START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
060520FZ38	A635BA	1191305	1191301	A635BA      060520FZ38	17256	T	1452273192	0
525776	 	1191306	1191302	 	17254	T	1452273192	0
060540FZ38	A635BA	1191307	1191303	A635BA      060540FZ38	17256	T	1452273192	0
525777	 	1191308	1191304	 	17254	T	1452273192	0
060550FZ38	A635BA	1191309	1191305	A635BA      060550FZ38	17256	T	1452273193	0
525778	 	1191310	1191306	 	17254	T	1452273193	0
060560FZ38	A635BA	1191311	1191307	A635BA      060560FZ38	17256	T	1452273193	0
525779	 	1191312	1191308	 	17254	T	1452273193	0
060570FZ38	A635BA	1191313	1191309	A635BA      060570FZ38	17256	T	1452273194	0
525780	 	1191314	1191310	 	17254	T	1452273194	0
060580FZ38	A635BA	1191315	1191311	A635BA      060580FZ38	17256	T	1452273194	0
525781	 	1191316	1191312	 	17254	T	1452273194	0
060390FZ38	A635BA	1191317	1191313	A635BA      060390FZ38	17256	T	1452273195	0
525782	 	1191318	1191314	 	17254	T	1452273195	0
060400FZ38	A635BA	1191319	1191315	A635BA      060400FZ38	17256	T	1452273195	0
525783	 	1191320	1191316	 	17254	T	1452273195	0
060410FZ38	A635BA	1191321	1191317	A635BA      060410FZ38	17256	T	1452273241	0
525784	 	1191322	1191318	 	17254	T	1452273241	0
060420FZ38	A635BA	1191323	1191319	A635BA      060420FZ38	17256	T	1452273241	0
525785	 	1191324	1191320	 	17254	T	1452273242	0
060430FZ38	A635BA	1191325	1191321	A635BA      060430FZ38	17256	T	1452273242	0
525786	 	1191326	1191322	 	17254	T	1452273242	0
060440FZ38	A635BA	1191327	1191323	A635BA      060440FZ38	17256	T	1452273242	0
525787	 	1191328	1191324	 	17254	T	1452273243	0
060450FZ38	A635BA	1191329	1191325	A635BA      060450FZ38	17256	T	1452273243	0
525788	 	1191330	1191326	 	17254	T	1452273243	0
060460FZ38	A635BA	1191331	1191327	A635BA      060460FZ38	17256	T	1452273243	0
525789	 	1191332	1191328	 	17254	T	1452273244	0
060470FZ38	A635BA	1191333	1191329	A635BA      060470FZ38	17256	T	1452273244	0
525790	 	1191334	1191330	 	17254	T	1452273244	0
060480FZ38	A635BA	1191335	1191331	A635BA      060480FZ38	17256	T	1452273244	0
525791	 	1191336	1191332	 	17254	T	1452273245	0
060290FZ38	A635BA	1191337	1191333	A635BA      060290FZ38	17256	T	1452273245	0
525792	 	1191338	1191334	 	17254	T	1452273245	0
060300FZ38	A635BA	1191339	1191335	A635BA      060300FZ38	17256	T	1452273245	0
525793	 	1191340	1191336	 	17254	T	1452273245	0
060320FZ38	A635BA	1191341	1191337	A635BA      060320FZ38	17256	T	1452273246	0
525794	 	1191342	1191338	 	17254	T	1452273246	0
060330FZ38	A635BA	1191343	1191339	A635BA      060330FZ38	17256	T	1452273246	0
525795	 	1191344	1191340	 	17254	T	1452273246	0
525796	 	1191345	1191341	 	17254	T	1452273247	0
525797	 	1191346	1191342	 	17254	T	1452273247	0
525798	 	1191347	1191343	 	17254	T	1452273247	0
525799	 	1191348	1191344	 	17254	T	1452273247	0
525800	 	1191349	1191345	 	17254	T	1452273248	0
060340FZ38	A635BA	1191350	1191346	A635BA      060340FZ38	17256	T	1452273248	0
525801	 	1191351	1191347	 	17254	T	1452273291	0
060350FZ38	A635BA	1191352	1191348	A635BA      060350FZ38	17256	T	1452273292	0
061120FZ38	A635BA	1191353	1191349	A635BA      061120FZ38	17256	T	1452273292	0
525802	 	1191354	1191350	 	17254	T	1452273292	0
061130FZ38	A635BA	1191355	1191351	A635BA      061130FZ38	17256	T	1452273292	0
525803	 	1191356	1191352	 	17254	T	1452273293	0
061140FZ38	A635BA	1191357	1191353	A635BA      061140FZ38	17256	T	1452273293	0
525804	 	1191358	1191354	 	17254	T	1452273293	0
061150FZ38	A635BA	1191359	1191355	A635BA      061150FZ38	17256	T	1452273293	0
061170FZ38	A635BA	1191360	1191356	A635BA      061170FZ38	17256	T	1452273293	0
525805	 	1191361	1191357	 	17254	T	1452273294	0
061180FZ38	A635BA	1191362	1191358	A635BA      061180FZ38	17256	T	1452273294	0
525806	 	1191363	1191359	 	17254	T	1452273294	0
060990FZ38	A635BA	1191364	1191360	A635BA      060990FZ38	17256	T	1452273294	0
525807	 	1191365	1191361	 	17254	T	1452273295	0
061000FZ38	A635BA	1191366	1191362	A635BA      061000FZ38	17256	T	1452273295	0
525808	 	1191367	1191363	 	17254	T	1452273295	0
061010FZ38	A635BA	1191368	1191364	A635BA      061010FZ38	17256	T	1452273295	0
525809	 	1191369	1191365	 	17254	T	1452273296	0
061020FZ38	A635BA	1191370	1191366	A635BA      061020FZ38	17256	T	1452273296	0
061030FZ38	A635BA	1191371	1191367	A635BA      061030FZ38	17256	T	1452273296	0
525810	 	1191372	1191368	 	17254	T	1452273296	0
061040FZ38	A635BA	1191373	1191369	A635BA      061040FZ38	17256	T	1452273297	0
525811	 	1191374	1191370	 	17254	T	1452273297	0
061050FZ38	A635BA	1191375	1191371	A635BA      061050FZ38	17256	T	1452273297	0
061060FZ38	A635BA	1191376	1191372	A635BA      061060FZ38	17256	T	1452273297	0
525812	 	1191377	1191373	 	17254	T	1452273297	0
061070FZ38	A635BA	1191378	1191374	A635BA      061070FZ38	17256	T	1452273298	0
525813	 	1191379	1191375	 	17254	T	1452273298	0
525814	 	1191380	1191376	 	17254	T	1452273298	0
061080FZ38	A635BA	1191381	1191377	A635BA      061080FZ38	17256	T	1452273342	0
060890FZ38	A635BA	1191382	1191378	A635BA      060890FZ38	17256	T	1452273342	0
060900FZ38	A635BA	1191383	1191379	A635BA      060900FZ38	17256	T	1452273343	0
525815	 	1191384	1191380	 	17254	T	1452273343	0
060910FZ38	A635BA	1191385	1191381	A635BA      060910FZ38	17256	T	1452273343	0
525816	 	1191386	1191382	 	17254	T	1452273343	0
060920FZ38	A635BA	1191387	1191383	A635BA      060920FZ38	17256	T	1452273344	0
525817	 	1191388	1191384	 	17254	T	1452273344	0
060930FZ38	A635BA	1191389	1191385	A635BA      060930FZ38	17256	T	1452273344	0
525818	 	1191390	1191386	 	17254	T	1452273344	0
060940FZ38	A635BA	1191391	1191387	A635BA      060940FZ38	17256	T	1452273345	0
525819	 	1191392	1191388	 	17254	T	1452273345	0
060950FZ38	A635BA	1191393	1191389	A635BA      060950FZ38	17256	T	1452273345	0
525820	 	1191394	1191390	 	17254	T	1452273345	0
060960FZ38	A635BA	1191395	1191391	A635BA      060960FZ38	17256	T	1452273346	0
525821	 	1191396	1191392	 	17254	T	1452273346	0
060970FZ38	A635BA	1191397	1191393	A635BA      060970FZ38	17256	T	1452273346	0
525822	 	1191398	1191394	 	17254	T	1452273346	0
060980FZ38	A635BA	1191399	1191395	A635BA      060980FZ38	17256	T	1452273347	0
525823	 	1191400	1191396	 	17254	T	1452273347	0
060790FZ38	A635BA	1191401	1191397	A635BA      060790FZ38	17256	T	1452273347	0
525824	 	1191402	1191398	 	17254	T	1452273347	0
060800FZ38	A635BA	1191403	1191399	A635BA      060800FZ38	17256	T	1452273348	0
525825	 	1191404	1191400	 	17254	T	1452273348	0
060820FZ38	A635BA	1191405	1191401	A635BA      060820FZ38	17256	T	1452273348	0
525826	 	1191406	1191402	 	17254	T	1452273348	0
060830FZ38	A635BA	1191407	1191403	A635BA      060830FZ38	17256	T	1452273349	0
525827	 	1191408	1191404	 	17254	T	1452273349	0
060840FZ38	A635BA	1191409	1191405	A635BA      060840FZ38	17256	T	1452273349	0
525828	 	1191410	1191406	 	17254	T	1452273349	0
060850FZ38	A635BA	1191411	1191407	A635BA      060850FZ38	17256	T	1452273395	0
525829	 	1191412	1191408	 	17254	T	1452273395	0
060860FZ38	A635BA	1191413	1191409	A635BA      060860FZ38	17256	T	1452273395	0
525830	 	1191414	1191410	 	17254	T	1452273396	0
060870FZ38	A635BA	1191415	1191411	A635BA      060870FZ38	17256	T	1452273396	0
525831	 	1191416	1191412	 	17254	T	1452273396	0
060880FZ38	A635BA	1191417	1191413	A635BA      060880FZ38	17256	T	1452273396	0
525832	 	1191418	1191414	 	17254	T	1452273396	0
060690FZ38	A635BA	1191419	1191415	A635BA      060690FZ38	17256	T	1452273397	0
525833	 	1191420	1191416	 	17254	T	1452273397	0
060700FZ38	A635BA	1191421	1191417	A635BA      060700FZ38	17256	T	1452273397	0
525834	 	1191422	1191418	 	17254	T	1452273397	0
060710FZ38	A635BA	1191423	1191419	A635BA      060710FZ38	17256	T	1452273398	0
525835	 	1191424	1191420	 	17254	T	1452273398	0
060730FZ38	A635BA	1191425	1191421	A635BA      060730FZ38	17256	T	1452273398	0
525836	 	1191426	1191422	 	17254	T	1452273398	0
060740FZ38	A635BA	1191427	1191423	A635BA      060740FZ38	17256	T	1452273399	0
525837	 	1191428	1191424	 	17254	T	1452273399	0
060750FZ38	A635BA	1191429	1191425	A635BA      060750FZ38	17256	T	1452273399	0
525838	 	1191430	1191426	 	17254	T	1452273399	0
060760FZ38	A635BA	1191431	1191427	A635BA      060760FZ38	17256	T	1452273400	0
525839	 	1191432	1191428	 	17254	T	1452273400	0
060770FZ38	A635BA	1191433	1191429	A635BA      060770FZ38	17256	T	1452273400	0
525840	 	1191434	1191430	 	17254	T	1452273400	0
060780FZ38	A635BA	1191435	1191431	A635BA      060780FZ38	17256	T	1452273401	0
525841	 	1191436	1191432	 	17254	T	1452273401	0
060590FZ38	A635BA	1191437	1191433	A635BA      060590FZ38	17256	T	1452273401	0
525842	 	1191438	1191434	 	17254	T	1452273401	0
060620FZ38	A635BA	1191439	1191435	A635BA      060620FZ38	17256	T	1452273402	0
525843	 	1191440	1191436	 	17254	T	1452273402	0
060640FZ38	A635BA	1191441	1191437	A635BA      060640FZ38	17256	T	1452273446	0
525844	 	1191442	1191438	 	17254	T	1452273446	0
060650FZ38	A635BA	1191443	1191439	A635BA      060650FZ38	17256	T	1452273447	0
525845	 	1191444	1191440	 	17254	T	1452273447	0
060670FZ38	A635BA	1191445	1191441	A635BA      060670FZ38	17256	T	1452273447	0
525846	 	1191446	1191442	 	17254	T	1452273447	0
060680FZ38	A635BA	1191447	1191443	A635BA      060680FZ38	17256	T	1452273448	0
525847	 	1191448	1191444	 	17254	T	1452273448	0
061780FZ38	A635BA	1191449	1191445	A635BA      061780FZ38	17256	T	1452273448	0
525848	 	1191450	1191446	 	17254	T	1452273448	0
061590FZ38	A635BA	1191451	1191447	A635BA      061590FZ38	17256	T	1452273449	0
525849	 	1191452	1191448	 	17254	T	1452273449	0
061600FZ38	A635BA	1191453	1191449	A635BA      061600FZ38	17256	T	1452273449	0
525850	 	1191454	1191450	 	17254	T	1452273449	0
061610FZ38	A635BA	1191455	1191451	A635BA      061610FZ38	17256	T	1452273450	0
525851	 	1191456	1191452	 	17254	T	1452273450	0
061620FZ38	A635BA	1191457	1191453	A635BA      061620FZ38	17256	T	1452273450	0
525852	 	1191458	1191454	 	17254	T	1452273450	0
061630FZ38	A635BA	1191459	1191455	A635BA      061630FZ38	17256	T	1452273451	0
525853	 	1191460	1191456	 	17254	T	1452273451	0
061640FZ38	A635BA	1191461	1191457	A635BA      061640FZ38	17256	T	1452273451	0
525854	 	1191462	1191458	 	17254	T	1452273451	0
061650FZ38	A635BA	1191463	1191459	A635BA      061650FZ38	17256	T	1452273452	0
525855	 	1191464	1191460	 	17254	T	1452273452	0
061660FZ38	A635BA	1191465	1191461	A635BA      061660FZ38	17256	T	1452273452	0
525856	 	1191466	1191462	 	17254	T	1452273452	0
061670FZ38	A635BA	1191467	1191463	A635BA      061670FZ38	17256	T	1452273453	0
525857	 	1191468	1191464	 	17254	T	1452273453	0
061680FZ38	A635BA	1191469	1191465	A635BA      061680FZ38	17256	T	1452273453	0
525858	 	1191470	1191466	 	17254	T	1452273454	0
061490FZ38	A635BA	1191471	1191467	A635BA      061490FZ38	17256	T	1452273498	0
525859	 	1191472	1191468	 	17254	T	1452273498	0
061500FZ38	A635BA	1191473	1191469	A635BA      061500FZ38	17256	T	1452273499	0
525860	 	1191474	1191470	 	17254	T	1452273499	0
061510FZ38	A635BA	1191475	1191471	A635BA      061510FZ38	17256	T	1452273499	0
525861	 	1191476	1191472	 	17254	T	1452273499	0
061520FZ38	A635BA	1191477	1191473	A635BA      061520FZ38	17256	T	1452273500	0
525862	 	1191478	1191474	 	17254	T	1452273500	0
061530FZ38	A635BA	1191479	1191475	A635BA      061530FZ38	17256	T	1452273500	0
525863	 	1191480	1191476	 	17254	T	1452273500	0
061540FZ38	A635BA	1191481	1191477	A635BA      061540FZ38	17256	T	1452273501	0
525864	 	1191482	1191478	 	17254	T	1452273501	0
061550FZ38	A635BA	1191483	1191479	A635BA      061550FZ38	17256	T	1452273501	0
525865	 	1191484	1191480	 	17254	T	1452273501	0
061560FZ38	A635BA	1191485	1191481	A635BA      061560FZ38	17256	T	1452273502	0
525866	 	1191486	1191482	 	17254	T	1452273502	0
061570FZ38	A635BA	1191487	1191483	A635BA      061570FZ38	17256	T	1452273502	0
525867	 	1191488	1191484	 	17254	T	1452273502	0
061580FZ38	A635BA	1191489	1191485	A635BA      061580FZ38	17256	T	1452273503	0
525868	 	1191490	1191486	 	17254	T	1452273503	0
061390FZ38	A635BA	1191491	1191487	A635BA      061390FZ38	17256	T	1452273503	0
525869	 	1191492	1191488	 	17254	T	1452273503	0
061400FZ38	A635BA	1191493	1191489	A635BA      061400FZ38	17256	T	1452273504	0
525870	 	1191494	1191490	 	17254	T	1452273504	0
061410FZ38	A635BA	1191495	1191491	A635BA      061410FZ38	17256	T	1452273504	0
525871	 	1191496	1191492	 	17254	T	1452273504	0
061420FZ38	A635BA	1191497	1191493	A635BA      061420FZ38	17256	T	1452273505	0
525872	 	1191498	1191494	 	17254	T	1452273505	0
061430FZ38	A635BA	1191499	1191495	A635BA      061430FZ38	17256	T	1452273505	0
525873	 	1191500	1191496	 	17254	T	1452273505	0
061450FZ38	A635BA	1191501	1191497	A635BA      061450FZ38	17256	T	1452273551	0
525874	 	1191502	1191498	 	17254	T	1452273551	0
061460FZ38	A635BA	1191503	1191499	A635BA      061460FZ38	17256	T	1452273551	0
525875	 	1191504	1191500	 	17254	T	1452273551	0
061290FZ38	A635BA	1191505	1191501	A635BA      061290FZ38	17256	T	1452273552	0
525876	 	1191506	1191502	 	17254	T	1452273552	0
061300FZ38	A635BA	1191507	1191503	A635BA      061300FZ38	17256	T	1452273552	0
525877	 	1191508	1191504	 	17254	T	1452273552	0
061310FZ38	A635BA	1191509	1191505	A635BA      061310FZ38	17256	T	1452273553	0
525878	 	1191510	1191506	 	17254	T	1452273553	0
061320FZ38	A635BA	1191511	1191507	A635BA      061320FZ38	17256	T	1452273553	0
525879	 	1191512	1191508	 	17254	T	1452273553	0
061330FZ38	A635BA	1191513	1191509	A635BA      061330FZ38	17256	T	1452273554	0
525880	 	1191514	1191510	 	17254	T	1452273554	0
061340FZ38	A635BA	1191515	1191511	A635BA      061340FZ38	17256	T	1452273554	0
525881	 	1191516	1191512	 	17254	T	1452273554	0
061350FZ38	A635BA	1191517	1191513	A635BA      061350FZ38	17256	T	1452273554	0
525882	 	1191518	1191514	 	17254	T	1452273555	0
061360FZ38	A635BA	1191519	1191515	A635BA      061360FZ38	17256	T	1452273555	0
525883	 	1191520	1191516	 	17254	T	1452273555	0
061370FZ38	A635BA	1191521	1191517	A635BA      061370FZ38	17256	T	1452273555	0
525884	 	1191522	1191518	 	17254	T	1452273556	0
061190FZ38	A635BA	1191523	1191519	A635BA      061190FZ38	17256	T	1452273556	0
525885	 	1191524	1191520	 	17254	T	1452273556	0
061200FZ38	A635BA	1191525	1191521	A635BA      061200FZ38	17256	T	1452273556	0
525886	 	1191526	1191522	 	17254	T	1452273557	0
061210FZ38	A635BA	1191527	1191523	A635BA      061210FZ38	17256	T	1452273557	0
525887	 	1191528	1191524	 	17254	T	1452273557	0
061220FZ38	A635BA	1191529	1191525	A635BA      061220FZ38	17256	T	1452273557	0
525888	 	1191530	1191526	 	17254	T	1452273558	0
061230FZ38	A635BA	1191531	1191527	A635BA      061230FZ38	17256	T	1452273602	0
525889	 	1191532	1191528	 	17254	T	1452273603	0
061240FZ38	A635BA	1191533	1191529	A635BA      061240FZ38	17256	T	1452273603	0
525890	 	1191534	1191530	 	17254	T	1452273603	0
061250FZ38	A635BA	1191535	1191531	A635BA      061250FZ38	17256	T	1452273603	0
525891	 	1191536	1191532	 	17254	T	1452273604	0
061260FZ38	A635BA	1191537	1191533	A635BA      061260FZ38	17256	T	1452273604	0
525892	 	1191538	1191534	 	17254	T	1452273604	0
061270FZ38	A635BA	1191539	1191535	A635BA      061270FZ38	17256	T	1452273605	0
525893	 	1191540	1191536	 	17254	T	1452273605	0
061280FZ38	A635BA	1191541	1191537	A635BA      061280FZ38	17256	T	1452273605	0
525894	 	1191542	1191538	 	17254	T	1452273605	0
061090FZ38	A635BA	1191543	1191539	A635BA      061090FZ38	17256	T	1452273605	0
525895	 	1191544	1191540	 	17254	T	1452273606	0
061100FZ38	A635BA	1191545	1191541	A635BA      061100FZ38	17256	T	1452273606	0
525896	 	1191546	1191542	 	17254	T	1452273606	0
061110FZ38	A635BA	1191547	1191543	A635BA      061110FZ38	17256	T	1452273606	0
525897	 	1191548	1191544	 	17254	T	1452273607	0
062070FZ38	A635BA	1191549	1191545	A635BA      062070FZ38	17256	T	1452273607	0
525898	 	1191550	1191546	 	17254	T	1452273607	0
062080FZ38	A635BA	1191551	1191547	A635BA      062080FZ38	17256	T	1452273607	0
525899	 	1191552	1191548	 	17254	T	1452273608	0
061900FZ38	A635BA	1191553	1191549	A635BA      061900FZ38	17256	T	1452273608	0
525900	 	1191554	1191550	 	17254	T	1452273608	0
061920FZ38	A635BA	1191555	1191551	A635BA      061920FZ38	17256	T	1452273609	0
525901	 	1191556	1191552	 	17254	T	1452273609	0
061930FZ38	A635BA	1191557	1191553	A635BA      061930FZ38	17256	T	1452273609	0
525902	 	1191558	1191554	 	17254	T	1452273609	0
061940FZ38	A635BA	1191559	1191555	A635BA      061940FZ38	17256	T	1452273610	0
525903	 	1191560	1191556	 	17254	T	1452273610	0
061950FZ38	A635BA	1191561	1191557	A635BA      061950FZ38	17256	T	1452273661	0
525904	 	1191562	1191558	 	17254	T	1452273661	0
061960FZ38	A635BA	1191563	1191559	A635BA      061960FZ38	17256	T	1452273661	0
525905	 	1191564	1191560	 	17254	T	1452273661	0
061970FZ38	A635BA	1191565	1191561	A635BA      061970FZ38	17256	T	1452273662	0
525906	 	1191566	1191562	 	17254	T	1452273662	0
061980FZ38	A635BA	1191567	1191563	A635BA      061980FZ38	17256	T	1452273662	0
525907	 	1191568	1191564	 	17254	T	1452273662	0
061790FZ38	A635BA	1191569	1191565	A635BA      061790FZ38	17256	T	1452273663	0
525908	 	1191570	1191566	 	17254	T	1452273663	0
061810FZ38	A635BA	1191571	1191567	A635BA      061810FZ38	17256	T	1452273663	0
525909	 	1191572	1191568	 	17254	T	1452273663	0
061820FZ38	A635BA	1191573	1191569	A635BA      061820FZ38	17256	T	1452273664	0
525910	 	1191574	1191570	 	17254	T	1452273664	0
061830FZ38	A635BA	1191575	1191571	A635BA      061830FZ38	17256	T	1452273664	0
525911	 	1191576	1191572	 	17254	T	1452273664	0
061840FZ38	A635BA	1191577	1191573	A635BA      061840FZ38	17256	T	1452273664	0
525912	 	1191578	1191574	 	17254	T	1452273665	0
061870FZ38	A635BA	1191579	1191575	A635BA      061870FZ38	17256	T	1452273665	0
525913	 	1191580	1191576	 	17254	T	1452273665	0
061880FZ38	A635BA	1191581	1191577	A635BA      061880FZ38	17256	T	1452273665	0
525914	 	1191582	1191578	 	17254	T	1452273666	0
061700FZ38	A635BA	1191583	1191579	A635BA      061700FZ38	17256	T	1452273666	0
525915	 	1191584	1191580	 	17254	T	1452273666	0
061710FZ38	A635BA	1191585	1191581	A635BA      061710FZ38	17256	T	1452273666	0
525916	 	1191586	1191582	 	17254	T	1452273667	0
061720FZ38	A635BA	1191587	1191583	A635BA      061720FZ38	17256	T	1452273667	0
525917	 	1191588	1191584	 	17254	T	1452273667	0
061730FZ38	A635BA	1191589	1191585	A635BA      061730FZ38	17256	T	1452273667	0
525918	 	1191590	1191586	 	17254	T	1452273668	0
061740FZ38	A635BA	1191591	1191587	A635BA      061740FZ38	17256	T	1452273713	0
525919	 	1191592	1191588	 	17254	T	1452273714	0
061750FZ38	A635BA	1191593	1191589	A635BA      061750FZ38	17256	T	1452273714	0
525920	 	1191594	1191590	 	17254	T	1452273714	0
061760FZ38	A635BA	1191595	1191591	A635BA      061760FZ38	17256	T	1452273715	0
525921	 	1191596	1191592	 	17254	T	1452273715	0
061770FZ38	A635BA	1191597	1191593	A635BA      061770FZ38	17256	T	1452273715	0
525922	 	1191598	1191594	 	17254	T	1452273715	0
062190FZ38	A635BA	1191599	1191595	A635BA      062190FZ38	17256	T	1452273715	0
525923	 	1191600	1191596	 	17254	T	1452273716	0
062200FZ38	A635BA	1191601	1191597	A635BA      062200FZ38	17256	T	1452273716	0
525924	 	1191602	1191598	 	17254	T	1452273716	0
062210FZ38	A635BA	1191603	1191599	A635BA      062210FZ38	17256	T	1452273716	0
525925	 	1191604	1191600	 	17254	T	1452273717	0
062220FZ38	A635BA	1191605	1191601	A635BA      062220FZ38	17256	T	1452273717	0
525926	 	1191606	1191602	 	17254	T	1452273717	0
062230FZ38	A635BA	1191607	1191603	A635BA      062230FZ38	17256	T	1452273717	0
525927	 	1191608	1191604	 	17254	T	1452273718	0
062240FZ38	A635BA	1191609	1191605	A635BA      062240FZ38	17256	T	1452273718	0
525928	 	1191610	1191606	 	17254	T	1452273718	0
062250FZ38	A635BA	1191611	1191607	A635BA      062250FZ38	17256	T	1452273718	0
525929	 	1191612	1191608	 	17254	T	1452273719	0
062260FZ38	A635BA	1191613	1191609	A635BA      062260FZ38	17256	T	1452273719	0
525930	 	1191614	1191610	 	17254	T	1452273719	0
062270FZ38	A635BA	1191615	1191611	A635BA      062270FZ38	17256	T	1452273719	0
525931	 	1191616	1191612	 	17254	T	1452273720	0
062280FZ38	A635BA	1191617	1191613	A635BA      062280FZ38	17256	T	1452273720	0
525932	 	1191618	1191614	 	17254	T	1452273720	0
062090FZ38	A635BA	1191619	1191615	A635BA      062090FZ38	17256	T	1452273720	0
525933	 	1191620	1191616	 	17254	T	1452273721	0
062100FZ38	A635BA	1191621	1191617	A635BA      062100FZ38	17256	T	1452273766	0
525934	 	1191622	1191618	 	17254	T	1452273766	0
062130FZ38	A635BA	1191623	1191619	A635BA      062130FZ38	17256	T	1452273766	0
525935	 	1191624	1191620	 	17254	T	1452273767	0
062140FZ38	A635BA	1191625	1191621	A635BA      062140FZ38	17256	T	1452273767	0
525936	 	1191626	1191622	 	17254	T	1452273767	0
062150FZ38	A635BA	1191627	1191623	A635BA      062150FZ38	17256	T	1452273767	0
525937	 	1191628	1191624	 	17254	T	1452273767	0
062160FZ38	A635BA	1191629	1191625	A635BA      062160FZ38	17256	T	1452273768	0
525938	 	1191630	1191626	 	17254	T	1452273768	0
062170FZ38	A635BA	1191631	1191627	A635BA      062170FZ38	17256	T	1452273768	0
525939	 	1191632	1191628	 	17254	T	1452273768	0
062180FZ38	A635BA	1191633	1191629	A635BA      062180FZ38	17256	T	1452273769	0
525940	 	1191634	1191630	 	17254	T	1452273769	0
061990FZ38	A635BA	1191635	1191631	A635BA      061990FZ38	17256	T	1452273769	0
525941	 	1191636	1191632	 	17254	T	1452273769	0
062010FZ38	A635BA	1191637	1191633	A635BA      062010FZ38	17256	T	1452273770	0
525942	 	1191638	1191634	 	17254	T	1452273770	0
062020FZ38	A635BA	1191639	1191635	A635BA      062020FZ38	17256	T	1452273770	0
525943	 	1191640	1191636	 	17254	T	1452273770	0
062030FZ38	A635BA	1191641	1191637	A635BA      062030FZ38	17256	T	1452273771	0
525944	 	1191642	1191638	 	17254	T	1452273771	0
062040FZ38	A635BA	1191643	1191639	A635BA      062040FZ38	17256	T	1452273771	0
525945	 	1191644	1191640	 	17254	T	1452273771	0
062050FZ38	A635BA	1191645	1191641	A635BA      062050FZ38	17256	T	1452273772	0
525946	 	1191646	1191642	 	17254	T	1452273772	0
062060FZ38	A635BA	1191647	1191643	A635BA      062060FZ38	17256	T	1452273772	0
525947	 	1191648	1191644	 	17254	T	1452273772	0
062810FZ38	A635BA	1191649	1191645	A635BA      062810FZ38	17256	T	1452273773	0
525948	 	1191650	1191646	 	17254	T	1452273773	0
062830FZ38	A635BA	1191651	1191647	A635BA      062830FZ38	17256	T	1452273818	0
525949	 	1191652	1191648	 	17254	T	1452273818	0
062840FZ38	A635BA	1191653	1191649	A635BA      062840FZ38	17256	T	1452273818	0
525950	 	1191654	1191650	 	17254	T	1452273819	0
062850FZ38	A635BA	1191655	1191651	A635BA      062850FZ38	17256	T	1452273819	0
525951	 	1191656	1191652	 	17254	T	1452273819	0
062860FZ38	A635BA	1191657	1191653	A635BA      062860FZ38	17256	T	1452273819	0
525952	 	1191658	1191654	 	17254	T	1452273820	0
062870FZ38	A635BA	1191659	1191655	A635BA      062870FZ38	17256	T	1452273820	0
525953	 	1191660	1191656	 	17254	T	1452273820	0
062880FZ38	A635BA	1191661	1191657	A635BA      062880FZ38	17256	T	1452273820	0
525954	 	1191662	1191658	 	17254	T	1452273821	0
062700FZ38	A635BA	1191663	1191659	A635BA      062700FZ38	17256	T	1452273821	0
525955	 	1191664	1191660	 	17254	T	1452273821	0
062710FZ38	A635BA	1191665	1191661	A635BA      062710FZ38	17256	T	1452273821	0
525956	 	1191666	1191662	 	17254	T	1452273822	0
062720FZ38	A635BA	1191667	1191663	A635BA      062720FZ38	17256	T	1452273822	0
525957	 	1191668	1191664	 	17254	T	1452273822	0
062730FZ38	A635BA	1191669	1191665	A635BA      062730FZ38	17256	T	1452273822	0
525958	 	1191670	1191666	 	17254	T	1452273823	0
062740FZ38	A635BA	1191671	1191667	A635BA      062740FZ38	17256	T	1452273823	0
525959	 	1191672	1191668	 	17254	T	1452273823	0
062750FZ38	A635BA	1191673	1191669	A635BA      062750FZ38	17256	T	1452273823	0
525960	 	1191674	1191670	 	17254	T	1452273824	0
062760FZ38	A635BA	1191675	1191671	A635BA      062760FZ38	17256	T	1452273824	0
525961	 	1191676	1191672	 	17254	T	1452273824	0
062770FZ38	A635BA	1191677	1191673	A635BA      062770FZ38	17256	T	1452273824	0
525962	 	1191678	1191674	 	17254	T	1452273825	0
062780FZ38	A635BA	1191679	1191675	A635BA      062780FZ38	17256	T	1452273825	0
525963	 	1191680	1191676	 	17254	T	1452273825	0
062590FZ38	A635BA	1191681	1191677	A635BA      062590FZ38	17256	T	1452273870	0
525964	 	1191682	1191678	 	17254	T	1452273870	0
062600FZ38	A635BA	1191683	1191679	A635BA      062600FZ38	17256	T	1452273870	0
525965	 	1191684	1191680	 	17254	T	1452273870	0
062610FZ38	A635BA	1191685	1191681	A635BA      062610FZ38	17256	T	1452273871	0
525966	 	1191686	1191682	 	17254	T	1452273871	0
