MACHINE;LANE;STAGE;PRODUCT;TIMESTAMP;FID;FNAME;OUTPUT;SERIAL;PRODUCTID;TPickup;TPMiss;TRMiss;TDMiss;THMiss;TRSMiss;TMMiss
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840186;34;20130830002306296-01-1-1-525513-A635BA      059590FZ38-3-A635BA-059590FZ38.U01;3;525513;233;91366;10;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840231;624;20130830002351010-01-1-1-525514-A635BA      059600FZ38-3-A635BA-059600FZ38.U01;3;525514;233;91517;10;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840275;233;20130830002435392-01-1-1-525515-A635BA      059610FZ38-3-A635BA-059610FZ38.U01;3;525515;233;91668;10;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840320;149;20130830002520519-01-1-1-525516-A635BA      059620FZ38-3-A635BA-059620FZ38.U01;3;525516;233;91819;10;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840367;980;20130830002607146-01-1-1-525517-A635BA      059630FZ38-3-A635BA-059630FZ38.U01;3;525517;233;91971;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840410;912;20130830002650286-01-1-1-525518-A635BA      059640FZ38-3-A635BA-059640FZ38.U01;3;525518;233;92122;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840454;188;20130830002734917-01-1-1-525519-A635BA      059650FZ38-3-A635BA-059650FZ38.U01;3;525519;233;92273;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840499;43;20130830002819710-01-1-1-525520-A635BA      059660FZ38-3-A635BA-059660FZ38.U01;3;525520;233;92424;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840544;209;20130830002904696-01-1-1-525521-A635BA      059670FZ38-3-A635BA-059670FZ38.U01;3;525521;233;92575;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840591;581;20130830002951671-01-1-1-525522-A635BA      059680FZ38-3-A635BA-059680FZ38.U01;3;525522;233;92726;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840635;524;20130830003035908-01-1-1-525523-A635BA      059490FZ38-3-A635BA-059490FZ38.U01;3;525523;233;92877;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840681;23;20130830003121434-01-1-1-525524-A635BA      059500FZ38-3-A635BA-059500FZ38.U01;3;525524;233;93028;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840843;687;20130830003403041-01-1-1-525525-A635BA      059510FZ38-3-A635BA-059510FZ38.U01;3;525525;233;93179;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840888;770;20130830003448426-01-1-1-525526-A635BA      059530FZ38-3-A635BA-059530FZ38.U01;3;525526;233;93330;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840934;604;20130830003534436-01-1-1-525527-A635BA      059540FZ38-3-A635BA-059540FZ38.U01;3;525527;233;93481;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377840977;220;20130830003617564-01-1-1-525528-A635BA      059550FZ38-3-A635BA-059550FZ38.U01;3;525528;233;93632;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841022;308;20130830003702734-01-1-1-525529-A635BA      059560FZ38-3-A635BA-059560FZ38.U01;3;525529;233;93783;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841067;271;20130830003747327-01-1-1-525530-A635BA      059570FZ38-3-A635BA-059570FZ38.U01;3;525530;233;93934;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841112;88;20130830003832132-01-1-1-525531-A635BA      059580FZ38-3-A635BA-059580FZ38.U01;3;525531;233;94085;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841159;74;20130830003919401-01-1-1-525532-A635BA      059390FZ38-3-A635BA-059390FZ38.U01;3;525532;233;94236;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841203;855;20130830004003143-01-1-1-525533-A635BA      059410FZ38-3-A635BA-059410FZ38.U01;3;525533;233;94387;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841248;269;20130830004048246-01-1-1-525534-A635BA      059420FZ38-3-A635BA-059420FZ38.U01;3;525534;233;94538;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841293;141;20130830004133003-01-1-1-525535-A635BA      059430FZ38-3-A635BA-059430FZ38.U01;3;525535;233;94689;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841337;645;20130830004217759-01-1-1-525536-A635BA      059440FZ38-3-A635BA-059440FZ38.U01;3;525536;233;94840;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841406;272;20130830004326225-01-1-1-525537-A635BA      059450FZ38-3-A635BA-059450FZ38.U01;3;525537;233;94991;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841499;78;20130830004459565-01-1-1-525538-A635BA      059460FZ38-3-A635BA-059460FZ38.U01;3;525538;233;95142;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841550;245;20130830004550649-01-1-1-525539-A635BA      059470FZ38-3-A635BA-059470FZ38.U01;3;525539;233;95293;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841590;691;20130830004630180-01-1-1-525540-A635BA      059480FZ38-3-A635BA-059480FZ38.U01;3;525540;233;95444;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841634;984;20130830004714839-01-1-1-525541-A635BA      059290FZ38-3-A635BA-059290FZ38.U01;3;525541;233;95595;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841682;438;20130830004802121-01-1-1-525542-A635BA      059310FZ38-3-A635BA-059310FZ38.U01;3;525542;233;95746;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841725;223;20130830004845698-01-1-1-525543-A635BA      059330FZ38-3-A635BA-059330FZ38.U01;3;525543;233;95897;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841773;866;20130830004933835-01-1-1-525544-A635BA      059340FZ38-3-A635BA-059340FZ38.U01;3;525544;233;96048;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841821;226;20130830005021516-01-1-1-525545-A635BA      059350FZ38-3-A635BA-059350FZ38.U01;3;525545;233;96199;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841863;196;20130830005103297-01-1-1-525546-A635BA      059360FZ38-3-A635BA-059360FZ38.U01;3;525546;233;96350;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841908;982;20130830005148468-01-1-1-525547-A635BA      059370FZ38-3-A635BA-059370FZ38.U01;3;525547;233;96501;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841953;887;20130830005233510-01-1-1-525548-A635BA      059380FZ38-3-A635BA-059380FZ38.U01;3;525548;233;96652;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377841998;388;20130830005318349-01-1-1-525549-A635BA      059200FZ38-3-A635BA-059200FZ38.U01;3;525549;233;96803;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842062;676;20130830005422223-01-1-1-525550-A635BA      059210FZ38-3-A635BA-059210FZ38.U01;3;525550;233;96954;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842101;574;20130830005501291-01-1-1-525551-A635BA      059220FZ38-3-A635BA-059220FZ38.U01;3;525551;233;97105;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842141;895;20130830005541739-01-1-1-525552-A635BA      059240FZ38-3-A635BA-059240FZ38.U01;3;525552;233;97256;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842180;926;20130830005620664-01-1-1-525553-A635BA      059250FZ38-3-A635BA-059250FZ38.U01;3;525553;233;97407;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842224;313;20130830005704718-01-1-1-525554-A635BA      059260FZ38-3-A635BA-059260FZ38.U01;3;525554;233;97558;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842269;230;20130830005749709-01-1-1-525555-A635BA      059270FZ38-3-A635BA-059270FZ38.U01;3;525555;233;97709;11;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842502;922;20130830010142472-01-1-1-525556-A635BA      059280FZ38-3-A635BA-059280FZ38.U01;3;525556;233;97862;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842541;211;20130830010221162-01-1-1-525557-A635BA      059090FZ38-3-A635BA-059090FZ38.U01;3;525557;233;98013;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842580;760;20130830010300152-01-1-1-525558-A635BA      060060FZ38-3-A635BA-060060FZ38.U01;3;525558;233;98164;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842618;362;20130830010338932-01-1-1-525559-A635BA      060070FZ38-3-A635BA-060070FZ38.U01;3;525559;233;98315;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842664;446;20130830010424374-01-1-1-525560-A635BA      060080FZ38-3-A635BA-060080FZ38.U01;3;525560;233;98466;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842719;241;20130830010519577-01-1-1-525561-A635BA      059890FZ38-3-A635BA-059890FZ38.U01;3;525561;233;98617;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842759;497;20130830010559960-01-1-1-525562-A635BA      059900FZ38-3-A635BA-059900FZ38.U01;3;525562;233;98768;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842804;909;20130830010644961-01-1-1-525563-A635BA      059910FZ38-3-A635BA-059910FZ38.U01;3;525563;233;98919;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842849;724;20130830010729680-01-1-1-525564-A635BA      059920FZ38-3-A635BA-059920FZ38.U01;3;525564;233;99070;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842894;465;20130830010814810-01-1-1-525565-A635BA      059930FZ38-3-A635BA-059930FZ38.U01;3;525565;233;99221;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842939;341;20130830010859442-01-1-1-525566-A635BA      059940FZ38-3-A635BA-059940FZ38.U01;3;525566;233;99372;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377842985;879;20130830010945170-01-1-1-525567-A635BA      059950FZ38-3-A635BA-059950FZ38.U01;3;525567;233;99523;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843031;328;20130830011031426-01-1-1-525568-A635BA      059970FZ38-3-A635BA-059970FZ38.U01;3;525568;233;99674;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843076;733;20130830011116573-01-1-1-525569-A635BA      059980FZ38-3-A635BA-059980FZ38.U01;3;525569;233;99825;13;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843128;376;20130830011208075-01-1-1-525570-A635BA      059790FZ38-3-A635BA-059790FZ38.U01;3;525570;233;99978;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843166;306;20130830011246747-01-1-1-525571-A635BA      059800FZ38-3-A635BA-059800FZ38.U01;3;525571;233;100129;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843224;280;20130830011344891-01-1-1-525572-A635BA      059810FZ38-3-A635BA-059810FZ38.U01;3;525572;233;100280;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843268;286;20130830011428763-01-1-1-525573-A635BA      059830FZ38-3-A635BA-059830FZ38.U01;3;525573;233;100431;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843313;35;20130830011513978-01-1-1-525574-A635BA      059840FZ38-3-A635BA-059840FZ38.U01;3;525574;233;100582;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843358;650;20130830011558827-01-1-1-525575-A635BA      059850FZ38-3-A635BA-059850FZ38.U01;3;525575;233;100733;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843432;62;20130830011712086-01-1-1-525576-A635BA      059860FZ38-3-A635BA-059860FZ38.U01;3;525576;233;100884;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843471;710;20130830011751966-01-1-1-525577-A635BA      059870FZ38-3-A635BA-059870FZ38.U01;3;525577;233;101035;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843510;433;20130830011830765-01-1-1-525578-A635BA      059880FZ38-3-A635BA-059880FZ38.U01;3;525578;233;101186;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843549;206;20130830011909713-01-1-1-525579-A635BA      059690FZ38-3-A635BA-059690FZ38.U01;3;525579;233;101337;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843589;592;20130830011949392-01-1-1-525580-A635BA      059700FZ38-3-A635BA-059700FZ38.U01;3;525580;233;101488;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843628;132;20130830012028113-01-1-1-525581-A635BA      059710FZ38-3-A635BA-059710FZ38.U01;3;525581;233;101639;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843674;551;20130830012114859-01-1-1-525582-A635BA      059720FZ38-3-A635BA-059720FZ38.U01;3;525582;233;101790;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843719;693;20130830012159015-01-1-1-525583-A635BA      060360FZ38-3-A635BA-060360FZ38.U01;3;525583;233;101941;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843763;87;20130830012243774-01-1-1-525584-A635BA      060370FZ38-3-A635BA-060370FZ38.U01;3;525584;233;102092;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843809;342;20130830012329999-01-1-1-525585-A635BA      060190FZ38-3-A635BA-060190FZ38.U01;3;525585;233;102243;15;1;0;0;0;0
01;1;1;PTA635AA001_BA001_CA001_RSA635BA001_4;1377843853;166;20130830012413477-01-1-1-525586-A635BA      060200FZ38-3-A635BA-060200FZ38.U01;3;525586;233;102394;15;1;0;0;0;0
