machno lane filetype label seconds
1 1 u01 copy_file 0.00670434047272727
2 1 u01 copy_file 0.00706725828657315
3 1 u01 copy_file 0.00640233595436508
4 1 u01 copy_file 0.00649891371005917
5 1 u01 copy_file 0.00646400780473373
1 2 u01 copy_file 0.007027009152
2 2 u01 copy_file 0.00685075011752988
3 2 u01 copy_file 0.00677014872189349
4 2 u01 copy_file 0.00659459237254902
5 2 u01 copy_file 0.00623836958235294
1 1 u03 copy_file 0.0103562273686354
2 1 u03 copy_file 0.0103396854124748
3 1 u03 copy_file 0.00895874469582505
4 1 u03 copy_file 0.00749553185515873
5 1 u03 copy_file 0.00640327046153846
1 2 u03 copy_file 0.00917760882730924
2 2 u03 copy_file 0.010951750226
3 2 u03 copy_file 0.0092650321027668
4 2 u03 copy_file 0.00903271232544379
5 2 u03 copy_file 0.0065290402372549
1 1 u01 is_ok_to_process 0.00352551739393939
2 1 u01 is_ok_to_process 0.00337175561122244
3 1 u01 is_ok_to_process 0.00352384311706349
4 1 u01 is_ok_to_process 0.00349943677120316
5 1 u01 is_ok_to_process 0.00360087474358974
1 2 u01 is_ok_to_process 0.003561661514
2 2 u01 is_ok_to_process 0.0033037496812749
3 2 u01 is_ok_to_process 0.00361065503747535
4 2 u01 is_ok_to_process 0.00354329373137255
5 2 u01 is_ok_to_process 0.00342961146862745
1 1 u03 is_ok_to_process 0.00347439069857434
2 1 u03 is_ok_to_process 0.00361594319315895
3 1 u03 is_ok_to_process 0.00353573164214712
4 1 u03 is_ok_to_process 0.00371391455357143
5 1 u03 is_ok_to_process 0.00368086396646943
1 2 u03 is_ok_to_process 0.00348346283333333
2 2 u03 is_ok_to_process 0.003676944694
3 2 u03 is_ok_to_process 0.00377565606916996
4 2 u03 is_ok_to_process 0.00367406885601578
5 2 u03 is_ok_to_process 0.00367785043137255
1 1 u01 management_reset 3.61236363636364e-07
2 1 u01 management_reset 3.49228456913828e-07
3 1 u01 management_reset 3.46093253968254e-07
4 1 u01 management_reset 7.29528599605523e-07
5 1 u01 management_reset 3.67901380670611e-07
1 2 u01 management_reset 3.44802e-07
2 2 u01 management_reset 3.51908366533865e-07
3 2 u01 management_reset 3.7339842209073e-07
4 2 u01 management_reset 3.34770588235294e-07
5 2 u01 management_reset 3.58794117647059e-07
1 1 u01 postprocess_u0X_file 0.00234727413333333
2 1 u01 postprocess_u0X_file 0.00231063590180361
3 1 u01 postprocess_u0X_file 0.00230705038888889
4 1 u01 postprocess_u0X_file 0.00228709228994083
5 1 u01 postprocess_u0X_file 0.00211820735108481
1 2 u01 postprocess_u0X_file 0.002322282906
2 2 u01 postprocess_u0X_file 0.00237288380876494
3 2 u01 postprocess_u0X_file 0.00236276406508876
4 2 u01 postprocess_u0X_file 0.00230009921568627
5 2 u01 postprocess_u0X_file 0.0020748242
1 1 u03 postprocess_u0X_file 0.00290999067820774
2 1 u03 postprocess_u0X_file 0.00299730098189135
3 1 u03 postprocess_u0X_file 0.00309414374552684
4 1 u03 postprocess_u0X_file 0.00319185701785714
5 1 u03 postprocess_u0X_file 0.00298550278500986
1 2 u03 postprocess_u0X_file 0.00300860390763052
2 2 u03 postprocess_u0X_file 0.003028942896
3 2 u03 postprocess_u0X_file 0.00307383597826087
4 2 u03 postprocess_u0X_file 0.00313523610059172
5 2 u03 postprocess_u0X_file 0.00297101833137255
1 1 u01 preprocess_u0X_file 0.000337251903030303
2 1 u01 preprocess_u0X_file 0.000329684394789579
3 1 u01 preprocess_u0X_file 0.000251359446428571
4 1 u01 preprocess_u0X_file 0.000251699069033531
5 1 u01 preprocess_u0X_file 0.000176638792899408
1 2 u01 preprocess_u0X_file 0.000310612072
2 2 u01 preprocess_u0X_file 0.000333013348605578
3 2 u01 preprocess_u0X_file 0.000258068118343195
4 2 u01 preprocess_u0X_file 0.000259557419607843
5 2 u01 preprocess_u0X_file 0.000210067405882353
1 1 u03 preprocess_u0X_file 0.000280500509164969
2 1 u03 preprocess_u0X_file 0.000320172839034205
3 1 u03 preprocess_u0X_file 0.000263740135188867
4 1 u03 preprocess_u0X_file 0.000209815688492063
5 1 u03 preprocess_u0X_file 0.000200054986193294
1 2 u03 preprocess_u0X_file 0.000282740570281124
2 2 u03 preprocess_u0X_file 0.000260898284
3 2 u03 preprocess_u0X_file 0.000187740260869565
